dwc:catalogNumber,Family,dwc:genus,species,Day,Month,Year,Day of the year
217017,Chrysobalanaceae,acioa,acioa edulis,18,11,1986,322
s08/19456,Chrysobalanaceae,acioa,acioa edulis,19,8,1973,231
141094,Chrysobalanaceae,acioa,acioa edulis,20,4,1981,110
406440,Chrysobalanaceae,acioa,acioa edulis,15,12,1971,349
406441,Chrysobalanaceae,acioa,acioa edulis,15,12,1971,349
223079,Chrysobalanaceae,acioa,acioa edulis,22,1,2008,22
217017,Chrysobalanaceae,acioa,acioa edulis,18,11,1986,322
249576,Chrysobalanaceae,acioa,acioa edulis,15,9,2005,258
39844,Chrysobalanaceae,acioa,acioa edulis,13,7,1973,194
238982,Chrysobalanaceae,acioa,acioa edulis,20,9,2010,263
40591,Chrysobalanaceae,acioa,acioa edulis,19,8,1973,231
39844,Chrysobalanaceae,acioa,acioa edulis,13,7,1973,194
2839109,Chrysobalanaceae,acioa,acioa edulis,19,8,1973,231
2845274,Chrysobalanaceae,acioa,acioa edulis,13,7,1973,194
1413,Chrysobalanaceae,acioa,acioa edulis,15,8,2006,227
mfsfr000124,Chrysobalanaceae,acioa,acioa edulis,15,8,2006,227
3158726,Chrysobalanaceae,acioa,acioa edulis,13,7,1973,194
2636766,Chrysobalanaceae,acioa,acioa edulis,15,12,1971,349
s18/18988,Chrysobalanaceae,acioa,acioa edulis,1,1,1900,1
47829,Chrysobalanaceae,acioa,acioa edulis,10,2,1975,41
32231,Chrysobalanaceae,acioa,acioa edulis,9,7,1971,190
45107,Chrysobalanaceae,acioa,acioa edulis,11,5,1974,131
,Chrysobalanaceae,acioa,acioa edulis,9,7,1971,190
rb00068383,Chrysobalanaceae,acioa,acioa edulis,2,10,1975,275
141131,Chrysobalanaceae,acioa,acioa edulis,10,7,1982,191
s08/19462,Chrysobalanaceae,acioa,acioa edulis,9,5,1974,129
428070,Chrysobalanaceae,acioa,acioa edulis,9,7,1971,190
406438,Chrysobalanaceae,acioa,acioa edulis,9,7,1971,190
406437,Chrysobalanaceae,acioa,acioa edulis,9,7,1971,190
406436,Chrysobalanaceae,acioa,acioa edulis,9,7,1971,190
406439,Chrysobalanaceae,acioa,acioa edulis,9,7,1971,190
428071,Chrysobalanaceae,acioa,acioa edulis,9,7,1971,190
3158671,Chrysobalanaceae,acioa,acioa edulis,2,10,1975,275
3158786,Chrysobalanaceae,acioa,acioa edulis,5,9,1974,248
45106,Chrysobalanaceae,acioa,acioa edulis,9,5,1974,129
182048,Chrysobalanaceae,acioa,acioa edulis,8,11,1991,312
32231,Chrysobalanaceae,acioa,acioa edulis,9,7,1971,190
45106,Chrysobalanaceae,acioa,acioa edulis,9,5,1974,129
