gbif:canonicalName,FAMILY,dwc:genus,species,dwc:specificEpithet,Day,Month,Year,Day of the year
abrus precatorius, Fabaceae,abrus,abrus precatorius l.,precatorius,17,5,1999,137
abrus precatorius, Fabaceae,abrus,abrus precatorius l.,precatorius,17,5,1999,137
abutilon theophrasti,Malvaceae,abutilon,abutilon avicennae,theophrasti,20,8,1992,233
abutilon indicum,Malvaceae,abutilon,abutilon indicum,indicum,15,8,1992,228
acacia smithiana,Fabaceae,acacia,acacia smithiana roxb.,smithiana,,,,
acalypha,Euphorbiaceae,acalypha,acalypha indica,indica,12,7,1992,214
acalypha,Euphorbiaceae,acalypha,acalypha indica,indica,1,8,1992,168
acalypha,Euphorbiaceae,acalypha,acalypha indica l.,indica,16,6,2000,194
acampe cephalotes,Orchidaceae,acampe,acampe cephalotes lindl.,cephalotes,19,11,1847,323
acampe ochracea,Orchidaceae,acampe,acampe ochraceum,ochracea,16,12,1944,351
acampe praemorsa,Orchidaceae,acampe,acampe papillosa,praemorsa,16,12,1944,351
acanthaceae,,,acanthaceae,,8,6,2000,160
acanthopanax trifoliatum,Araliaceae,acanthopanax,acanthopanax trifoliatus (l.) voss var. sepius,trifoliatum,29,9,1850,272
acanthopanax trifoliatum,Araliaceae,acanthopanax,acanthopanax trifoliatus (l.) voss var. sepius,trifoliatum,8,11,1850,
acanthopanax trifoliatum,Araliaceae,acanthopanax,acanthopanax trifoliatus (l.) voss var. sepius,trifoliatum,,,,312
acanthopanax trifoliatum,Araliaceae,acanthopanax,acanthopanax trifoliatus (l.) voss var. sepius,trifoliatum,,,,
acanthopanax trifoliatum,Araliaceae,acanthopanax,acanthopanax trifoliatus (l.) voss var. sepius,trifoliatum,,,,
acanthus ilicifolius,,acanthus,acanthus ilicifolius l.,ilicifolius,1,6,2000,153
acanthus leucostachyus,,acanthus,acanthus leucostachyus wall.,leucostachyus,,,,
acanthus leucostachyus,,acanthus,acanthus leucostachyus wall.,leucostachyus,,,,
acer oblongum,,acer,acer oblongum wall.,oblongum,,,,
achyranthes aspera,,achyranthes,achyranthes aspera,aspera,10,7,1992,192
achyranthes aspera,,achyranthes,achyranthes aspera,aspera,12,4,1868,103
achyranthes aspera,,achyranthes,achyranthes aspera,aspera,23,10,1868,297
achyrospermum wallichianum,,achyrospermum,achyrospermum wallichianum (benth.) benth. ex hook.f.,wallichianum,,,,
,,acorus,acorus calamus l.,calamus,13,6,1979,
acranthera tomentosa,,acranthera,acranthera tomentosa r.br. ex hook.f.,tomentosa,,,,
acronychia,,acronychia,acronychia  j.r.forst.,,10,10,1979,283
acronychia,,acronychia,acronychia  j.r.forst.,,19,11,1979,323
acronychia pedunculata,,acronychia,acronychia pedunculata,pedunculata,6,8,1992,219
acronychia pedunculata,,acronychia,acronychia pedunculata (l.) miq.,pedunculata,,,,
acrostichum aureum,,acrostichum,acrostichum aureum l.,aureum,1,6,2000,153
acrostichum aureum,,acrostichum,acrostichum aureum l.,aureum,1,6,2000,
acrostichum aureum,,acrostichum,acrostichum aureum l.,aureum,,,,153
,,acrostichum,acrostichum flagelliferum,flagelliferum,10,6,1869,
actinoscirpus grossus,,actinoscirpus,actinoscirpus grossus var. kysoor,grossus,29,12,1875,363
actinostemma tenerum,,actinostemma,actinostemma tenerum griff.,tenerum,,,,
actinostemma tenerum,,actinostemma,actinostemma tenerum griff.,tenerum,,,,
actinostemma tenerum,,actinostemma,actinostemma tenerum griffith,tenerum,,,,
adenia cardiophylla,,adenia,adenia cardiophylla engl.,cardiophylla,,,,
mycetia longifolia,,mycetia,adenosacme longifolia wall.,longifolia,,,,
adenostemma elatum,,adenostemma,adenostemma elatum dc.,elatum,,,,
,,adenostemma,adenostemma lavenia var. lavenia,lavenia,22,11,1944,15
,,adhatoda,adhatoda vasica nees,vasica,25,5,1999,
,,adina,adina cordifolia,cordifolia,18,7,1992,200
neonauclea sessilifolia,,neonauclea,adina sessilifolia,sessilifolia,30,12,1944,365
adinandra griffithii,,adinandra,adinandra griffithii dyer.,griffithii,,,,
aegialitis rotundifolia,,aegialitis,aegialitis rotundifolia roxb.,rotundifolia,31,5,2000,152
aegiceras corniculatum,,aegiceras,aegiceras corniculatum (l.) blanco,corniculatum,1,6,2000,153
aeginetia pedunculata,,aeginetia,aeginetia abbreviata buch.-ham. ex benth.,pedunculata,,,,
aeginetia indica,,aeginetia,aeginetia indica,indica,15,8,1992,
aeginetia indica,,aeginetia,aeginetia indica,indica,18,8,1992,228
aeginetia indica,,aeginetia,aeginetia indica roxb.,indica,,,,231
aegle marmelos,,aegle,aegle marmelos (l.) correa,marmelos,,,,
aerva sanguinolenta,,aerva,aerva sanguinolenta,sanguinolenta,18,5,1867,
aerva sanguinolenta,,aerva,aerva scandens wall.,sanguinolenta,,,,138
aeschynanthus acuminatus,Gesneriaceae,aeschynanthus,aeschynanthus acuminatus wall. ex a.dc.,acuminatus,,,,
aeschynanthus bracteatus,Gesneriaceae,aeschynanthus,aeschynanthus bracteactus wall.,bracteatus,,,,
aeschynanthus bracteatus,Gesneriaceae,aeschynanthus,aeschynanthus bracteactus wall.,bracteatus,,,,
aeschynanthus bracteatus,Gesneriaceae,aeschynanthus,aeschynanthus bracteatus wall.,bracteatus,,,,
aeschynanthus bracteatus,Gesneriaceae,aeschynanthus,aeschynanthus bracteatus wall. ex a. dc.,bracteatus,,,,
aeschynanthus bracteatus,Gesneriaceae,aeschynanthus,aeschynanthus bracteatus wall. ex a.dc.,bracteatus,9,8,1824,222
aeschynanthus longiflorus,Gesneriaceae,aeschynanthus,aeschynanthus longiflorus wall.,longiflorus,,,,
aeschynanthus longiflorus,Gesneriaceae,aeschynanthus,aeschynanthus longiflorus wall.,longiflorus,,,,
aeschynanthus parasiticus,Gesneriaceae,aeschynanthus,aeschynanthus parasiticus,parasiticus,6,8,1992,
aeschynanthus parasiticus,Gesneriaceae,aeschynanthus,aeschynanthus parasiticus,parasiticus,,,,
aeschynanthus parasiticus,Gesneriaceae,aeschynanthus,aeschynanthus parasiticus,parasiticus,,,,
aeschynanthus parasiticus,Gesneriaceae,aeschynanthus,aeschynanthus parasiticus,parasiticus,,,,219
aeschynanthus parasiticus,Gesneriaceae,aeschynanthus,aeschynanthus parasiticus,parasiticus,,,,
aeschynanthus parasiticus,Gesneriaceae,aeschynanthus,aeschynanthus parasiticus,parasiticus,,,,
aeschynanthus parviflorus,Gesneriaceae,aeschynanthus,aeschynanthus parviflorus (d. don.) spreng.,parviflorus,,,,
aeschynanthus parviflorus,Gesneriaceae,aeschynanthus,aeschynanthus parviflorus (d.don) spreng.,parviflorus,,,,
aeschynanthus superbus,Gesneriaceae,aeschynanthus,aeschynanthus superbus c.b.clarke,superbus,,,,
aeschynanthus superbus,Gesneriaceae,aeschynanthus,aeschynanthus superbus c.b.clarke,superbus,,,,
aeschynomene aspera,Gesneriaceae,aeschynomene,aeschynomene aspera,aspera,12,9,1944,
aeschynomene aspera,Gesneriaceae,aeschynomene,aeschynomene aspera l.,aspera,,,,
aeschynomene aspera,Gesneriaceae,aeschynomene,aeschynomene aspera l.,aspera,,,,256
aeschynomene indica,Gesneriaceae,aeschynomene,aeschynomene indica l.,indica,,,,
aesculus assamica,,aesculus,aesculus punduana wall.,assamica,,,,
aesculus assamica,,aesculus,aesculus punduana wall.,assamica,,,,
,,aetheilema,aetheilema reniforme,reniforme,,,,214
aganope heptaphylla,,aganope,aganope heptaphylla,heptaphylla,,,,
aganosma cymosa,,aganosma,aganosma cymosa (roxb.) g.don var. cymosa,cymosa,,,,
,,aganosma,aganosma marginata (roxb.) g.don,marginata,18,5,1999,144
agapetes acuminata,,agapetes,agapetes acuminata d.don ex g.don,acuminata,,,,
sesbania grandiflora,,sesbania,agati grandiflora desv.,grandiflora,,,,
sesbania grandiflora,,sesbania,agati grandiflora desv.,grandiflora,,,,
ageratum conyzoides,,ageratum,ageratum conyzoides,conyzoides,30,12,1944,219
ageratum conyzoides,,ageratum,ageratum conyzoides,conyzoides,10,7,1992,192
ageratum conyzoides,,ageratum,ageratum conyzoides,conyzoides,12,7,1992,194
ageratum conyzoides,,ageratum,ageratum conyzoides,conyzoides,6,8,1992,91
ageratum conyzoides,,ageratum,ageratum conyzoides l.,conyzoides,1,4,1997,365
aglaia chittagonga,,aglaia,aglaia chittagonga miq.,chittagonga,25,4,1997,
aglaia chittagonga,,aglaia,aglaia chittagonga miq.,chittagonga,,,,
aglaia chittagonga,,aglaia,aglaia chittagonga miq.,chittagonga,,,,
aglaia chittagonga,,aglaia,aglaia chittagonga miq.,chittagonga,,,,
aglaia chittagonga,,aglaia,aglaia chittagonga miq.,chittagonga,,,,
aglaia chittagonga,,aglaia,aglaia chittagonga miq.,chittagonga,,,,115
aglaia chittagonga,,aglaia,aglaia chittagonga miq.,chittagonga,,,,
aglaia elaeagnoidea,,aglaia,aglaia elaeagnoidea (a.juss.) benth.,elaeagnoidea,,,,
aglaia elaeagnoidea,,aglaia,aglaia elaeagnoidea (a.juss.) benth.,elaeagnoidea,,,,
