idigbio:etag,dwc:occurrenceID,dwc:genus,species,Day,Month,Year,Day of the year
9cee5e829bcb2b581b406f73521397af2cb36402,005d1be6-a155-4ef6-a37f-77ce340e2ded,acanthospermum,acanthospermum australe,20,5,1947,140
f2aae33b0e233c32d10167644516750f019b4ece,95cf375b-03ec-421c-a2b5-3ebbf11a2b61,acanthospermum,acanthospermum australe,18,8,1948,231
719956bf58c39faeb2ce6fe29562e15c8f1f330e,http://n2t.net/ark:/65665/3775f88cf-9850-4d21-b6da-e5114e4550f7,acanthospermum,acanthospermum australe,27,1,1991,27
c5e4446b71e2bf0be0c96aa620d13831b33a83b4,http://specimens.kew.org/herbarium/k000955664,acanthospermum,acanthospermum australe,9,1,1828,9
133b51f05256932d230b723181295c22c9f9b2b6,s:vascularplants:s16-40548,acanthospermum,acanthospermum australe,5,2,1975,36
1314b25cc47a4a1e6956fc5f6e9908b7c126a8fe,urn:catalog:mo:tropicos:100901854,acroceras,acroceras zizanioides,23,2,1996,54
d20275f3c541ca209896e434daa79c7267e45b1d,f946f944-7bb3-4d59-b77f-fb645b5c119c,agalinis,agalinis,30,7,2002,211
dd561390b856ff20bea270db40f748db6401a2c3,b4676767-7a22-4620-acce-084a76d71381,agalinis,agalinis,2,8,2002,214
0dd882ea6f819fb17e4703848677b09f43c2d0b0,be64f236-b2e5-4fa8-91b6-ec2764a6dabd,agalinis,agalinis,5,8,2002,217
90635a11e55f4aeb5f4cdb5da671b35ebf6ed906,5ede585b-ee45-4785-b819-393950773e2d,agalinis,agalinis,7,8,2002,219
625e99be980070e1e2cf86ba32f94e90c5834ec3,c1a4e5db-a3ee-4f52-bfad-01822332fd09,agalinis,agalinis,7,8,2002,219
423ed7c08de789d70785d3d1ab25d2c65bab3161,urn:catalog:mo:tropicos:2220857,albizia,albizia niopoides niopoides,14,7,1988,196
025f092a460f7f87c4451f69195112ac1187f0a1,urn:catalog:mo:tropicos:87730,albizia,albizia niopoides niopoides,21,7,1988,203
ee811cc80360ee9cceb7fb272978b8fc350abc09,urn:catalog:mo:tropicos:3115021,alnus,alnus acuminata,3,11,1994,307
4102c3e621b08b33b5809c758b958388140380eb,urn:catalog:mo:tropicos:354076,anthurium,anthurium acebeyae,14,4,1984,105
4041d043dac18757e55df9dc5c2d17ede213e5dc,b59c0cf5-48c3-458d-b90a-5086fb3af905,anthurium,anthurium stephanii,20,8,1945,232
542bc9153a5f723f9eab1d6eda6780cfed4cab09,urn:catalog:mo:tropicos:385260,anthurium,anthurium stephanii,20,8,1945,232
8349f63d05f5bae0f919a457f1ea549ed5c20199,07dd3113-b083-49f1-b83b-b43fca40eee4,azolla,azolla caroliniana,16,10,1891,289
e443d4a15db071a6d3fc8c828a3d2618dc1884c9,7a346598-8d7f-4aef-bff7-bc0ad8b3eb26,azolla,azolla caroliniana,22,8,1987,234
e900b2b82c66b7cb710a556f68cbff69e040ac86,44fdf0aa-b720-44ab-900d-356cc00818f9,azolla,azolla caroliniana,13,7,1998,194
72c58410ef9f5e991a937209d9de0bf3f14b9684,urn:catalog:mo:tropicos:1196257,azolla,azolla caroliniana,30,3,1993,89
aa6833e95c47fa72029dda70658b262f205a1639,urn:catalog:mo:tropicos:1930403,azolla,azolla caroliniana,25,5,1994,145
2aac85634e2e662172aa03a2ba6432b1abffdd77,urn:catalog:mo:tropicos:100899955,azolla,azolla caroliniana,9,9,1994,252
1a75c8d5fdc13fdf5c11c305cbe6deb495ab183d,urn:catalog:mo:tropicos:1890635,azolla,azolla caroliniana,4,3,1995,63
453c865d81b9fa0eb6aee72518dbcfe8d464b8ad,urn:catalog:mo:tropicos:3397854,azolla,azolla caroliniana,2,12,1995,336
723fcdf1e646aee0ca29a94ee419d3c3bae28c72,urn:catalog:mo:tropicos:1092875,azolla,azolla caroliniana,4,5,1996,125
8d48fa334a857a92c51e87d12c605fcaac54a95f,urn:catalog:mo:tropicos:911438,azolla,azolla caroliniana,8,4,1890,98
9693ddf405ce955b76c6dd8c0da3b1a169b1825f,urn:uuid:f8c59b4e-ee91-41dd-aa2d-6668556c72b7,azolla,azolla caroliniana,12,11,1901,316
e9c8fffc267a0f4c9d92a7fb2c61c25aec6293b0,https://data.biodiversitydata.nl/naturalis/specimen/u.1003461,azolla,azolla caroliniana,11,11,1929,315
3c56ca138302642a833cfa2d0f359e760f029203,9b0f4a39-5301-417c-8629-466eca5927a5,azolla,azolla caroliniana,12,2,1995,43
57625d1792838a1424516e943966003f2fd350a0,dabbc9bf-d108-4b44-9a9c-25d5c64c1243,azolla,azolla caroliniana,3,4,1995,93
a007172063b792d20b8a7f9a68b608613028e4bb,9bc6e8a0-3beb-4c5c-b936-31a4b950847f,azolla,azolla caroliniana,5,4,1996,96
096d43c336ed3eb020febf5f0e19c0cbf631a034,urn:catalog:mo:tropicos:3578,blechnum,blechnum lima,5,7,1982,186
a5a69f972dff81e39eba23436dfbb12f26be8365,urn:catalog:mo:tropicos:3570,blechnum,blechnum lima,5,7,1982,186
ec4d8108d57f9d064ef99ce212720bac4cd7ee43,http://n2t.net/ark:/65665/3f45c32cd-9760-4155-a7f9-d44ed99f7808,blechnum,blechnum lima,5,7,1982,186
791e43b40b9dbd68615bd2d2d42bd8a8ca72d59b,7b1ea338-26b5-4712-ac35-c48970efeb2a,blechnum,blechnum occidentale,1,7,1986,182
a5bc6abc82335c2bc45fdf6a5c1f1c004062322e,http://specimens.kew.org/herbarium/k000614537,blepharodon,blepharodon crabronum,25,1,2001,25
ed499a402ed7341eb75d054a37763eed618751f2,http://specimens.kew.org/herbarium/71681.000,blepharodon,blepharodon crabronum,25,1,2001,25
7821a61abc33f97de3a11f493202244fe01063bc,urn:catalog:mo:tropicos:100182159,blepharodon,blepharodon crabronum,25,1,2001,25
24bedfb139f199d216e1464abc2eb358275c6067,urn:catalog:mo:tropicos:1396913,blepharodon,blepharodon crabronum,26,11,1999,330
f2d005ed2aec943dd321ca0fa4d42b30a4bb499f,urn:catalog:mo:tropicos:100182163,blepharodon,blepharodon crabronum,10,12,2001,344
c010af897134697a080457b11a42817dbab99af1,urn:catalog:mo:tropicos:100182154,blepharodon,blepharodon crabronum,4,1,2002,4
ba9a4d9b00037977255f89a2331bc9f8fa0f3178,http://specimens.kew.org/herbarium/71673.000,blepharodon,blepharodon crabronum,12,10,2001,285
52c46f41fa7fbf46e51b2455034f76e28020b7b9,http://n2t.net/ark:/65665/32917af01-dfec-4a3b-a5fb-b07bd69de5ef,bomarea,bomarea involucrosa,20,11,1948,325
7af04815f45fa61c2241dd92f899eb2ddef0cb76,https://data.biodiversitydata.nl/naturalis/specimen/u.1456210,bougainvillea,bougainvillea,20,9,1928,264
208ff0651577cbd765761f44bf1bf572c8baa18f,https://data.biodiversitydata.nl/naturalis/specimen/u.1456208,bougainvillea,bougainvillea,13,9,1949,256
60486e2ab8b3753b1520d825dc7e2113ccbd954d,urn:catalog:inpa:herbarium:99483,bougainvillea,bougainvillea,27,8,1976,240
1398d90bc7741b0e065712dc9a12ead556c2018d,https://data.biodiversitydata.nl/naturalis/specimen/u.1456213,bougainvillea,bougainvillea,22,11,1984,327
6410e9f8daddc0088b960f1c8d7758129f058622,bra:usp:spfw:7260,bougainvillea,bougainvillea,28,2,2018,59
a31223b38a5cce73ba196e41646657594ae17e8f,bra:usp:spfw:7257,bougainvillea,bougainvillea,28,2,2018,59
dcdfcbb153a4da4dc2e5ee85908a8402f4c0c3cd,bra:usp:spfw:7258,bougainvillea,bougainvillea,28,2,2018,59
cf8dbbe6f082c8d0dea5e79a8030f493cb90a2f3,bra:usp:spfw:7259,bougainvillea,bougainvillea,28,2,2018,59
