dwc:occurrenceID,dwc:genus,species,Day,Month,Year,Day of the year
urn:catalog:mo:tropicos:2876238,abarema,abarema barbouriana var. arenaria (ducke) barneby & j.w. grimes,24,11,1987,328
urn:catalog:mo:tropicos:2876193,abarema,abarema campestris (spruce ex benth.) barneby & j.w. grimes,30,9,1990,273
bra:ima:mac:55629,abarema,abarema cochliacarpos,25,10,2011,298
bra:uefs:huefs:190290,abarema,abarema cochliacarpos,27,10,2012,301
bra:uefs:huefs:190308,abarema,abarema cochliacarpos,27,10,2012,301
bra:uefs:huefs:168792,abarema,abarema cochliacarpos,13,12,2009,347
bra:uefs:huefs:63466,abarema,abarema cochliacarpos,16,3,1996,76
bra:ufpb:jpb:64988,abarema,abarema cochliacarpos,21,3,2016,81
bra:ufrgs:icn:193145,abarema,abarema cochliacarpos,21,3,2016,81
bra:ufpe:ufp:85342,abarema,abarema cochliacarpos,21,3,2016,81
bra:ufrgs:icn:193141,abarema,abarema cochliacarpos,21,3,2016,81
bra:ufrgs:icn:193146,abarema,abarema cochliacarpos,21,3,2016,81
bra:ufrgs:icn:193140,abarema,abarema cochliacarpos,21,3,2016,81
bra:ufrgs:icn:193142,abarema,abarema cochliacarpos,21,3,2016,81
bra:ufrgs:icn:193143,abarema,abarema cochliacarpos,21,3,2016,81
bra:ufrgs:icn:193144,abarema,abarema cochliacarpos,21,3,2016,81
bra:ima:mac:55467,abarema,abarema cochliacarpos,23,6,2010,174
bra:uefs:huefs:60775,abarema,abarema cochliacarpos,18,7,2001,199
bra:ipa:ipa:90049,abarema,abarema cochliacarpos,22,7,2014,203
bra:ipa:ipa:84922,abarema,abarema cochliacarpos,30,8,2010,242
bra:unicamp:uec:63537,abarema,abarema cochliacarpos,4,9,1992,248
bra:uefs:huefs:25716,abarema,abarema cochliacarpos,3,11,1996,308
bra:uesb:huesb:352,abarema,abarema cochliacarpos,4,7,2013,185
78f754fb-375a-4c80-9ac7-fde578d83713,abarema,abarema cochliacarpos,22,8,1993,234
urn:catalog:jbrj:rb:1369917,abarema,abarema cochliacarpos,21,3,2016,81
urn:catalog:jbrj:rb:1348843,abarema,abarema cochliacarpos,21,3,2016,81
urn:catalog:jbrj:rb:1348858,abarema,abarema cochliacarpos,21,3,2016,81
urn:catalog:jbrj:rb:1348846,abarema,abarema cochliacarpos,21,3,2016,81
urn:catalog:jbrj:rb:1348855,abarema,abarema cochliacarpos,21,3,2016,81
urn:catalog:jbrj:rb:1348850,abarema,abarema cochliacarpos,21,3,2016,81
urn:catalog:jbrj:rb:1369916,abarema,abarema cochliacarpos,21,3,2016,81
urn:catalog:jbrj:rb:158342,abarema,abarema cochliacarpos,24,10,1980,298
http://specimens.kew.org/herbarium/k000091687,abarema,abarema cochliacarpos,25,1,1979,25
http://specimens.kew.org/herbarium/k000091676,abarema,abarema cochliacarpos,22,8,1993,234
http://specimens.kew.org/herbarium/k000091681,abarema,abarema cochliacarpos,9,4,1992,100
http://specimens.kew.org/herbarium/k000091693,abarema,abarema cochliacarpos,9,4,1992,100
http://specimens.kew.org/herbarium/k000622256,abarema,abarema cochliacarpos,29,5,1963,149
http://specimens.kew.org/herbarium/k000622267,abarema,abarema cochliacarpos,16,3,1996,76
http://specimens.kew.org/herbarium/k000622266,abarema,abarema cochliacarpos,11,3,1996,71
http://specimens.kew.org/herbarium/k000091637,abarema,abarema filamentosa (benth.) pitier,8,5,1991,128
http://specimens.kew.org/herbarium/k000091638,abarema,abarema filamentosa (benth.) pitier,8,5,1991,128
b3e2370f-857e-4c38-a733-359d03b66684,abarema,abarema filamentosa (benth.) pittier,8,5,1991,128
urn:catalog:mo:tropicos:2879315,abarema,abarema jupunba var. jupunba,17,11,1987,321
45985e1d-b73c-4d78-b144-e2f3be029090,abarema,abarema leucophylla,17,11,1987,321
c8487f23-946c-4b9c-800a-a0e6da011c5e,abarema,abarema leucophylla,27,11,1987,331
http://n2t.net/ark:/65665/3907882a9-7a40-485b-acc8-e13337d4ffe5,abarema,abarema leucophylla,11,4,1945,101
http://n2t.net/ark:/65665/3082f356e-7560-48e9-b013-b3088e90b773,abarema,abarema leucophylla,5,10,1948,279
http://specimens.kew.org/herbarium/k000868571,abarema,abarema leucophylla,6,11,1987,310
ac95009a-07dc-4bea-b063-43ca1485ebce,abarema,abarema leucophylla,5,11,1945,309
d7eacc17-5201-40fe-a6ec-24968fa22988,abarema,abarema leucophylla,10,5,1948,131
1e8ebeab-3b0b-4b1f-9b8a-2bf18d515935,abolboda,abolboda grandis griseb. var. grandis,8,2,1954,39
http://specimens.kew.org/herbarium/k000837686,abolboda,abolboda grandis griseb. var. grandis,8,2,1984,39
8acd9f38-8a45-4081-98cf-99b37fb03e94,abolboda,abolboda macrostachya spruce ex malme var. macrostachya,30,4,1974,120
60568803-fe21-443b-b375-387a62b548ee,abrus,abrus precatorius l.,1,12,1982,335
urn:catalog:mo:tropicos:2775595,abrus,abrus precatorius subsp. africanus verdc.,12,1,1982,12
https://data.biodiversitydata.nl/naturalis/specimen/u.1389452,abuta,abuta rufescens aubl.,24,4,1947,114
https://data.biodiversitydata.nl/naturalis/specimen/u.1258564,acacia,acacia  mill.,23,2,1977,54
https://data.biodiversitydata.nl/naturalis/specimen/u.1258580,acacia,acacia  mill.,5,3,1974,64
https://data.biodiversitydata.nl/naturalis/specimen/u.1258766,acacia,acacia  mill.,3,3,1977,62
bra:mbm:mbm:336407,acacia,acacia bahiensis,5,4,2007,95
urn:catalog:mo:tropicos:2876412,acacia,acacia bonariensis gillies ex hook. & arn.,26,11,1992,331
bra:unicamp:uec:131905,acacia,acacia farnesiana,28,5,2000,149
d5a4b4a9-752d-439c-b202-9f1c7368e5b9,acacia,acacia farnesiana,12,6,2004,164
fb570dd4-4b8e-46dd-9730-e7836c76ae81,acacia,acacia farnesiana (l.) willd.,14,5,1984,135
78f6b925-88f3-4956-b3ff-e964d9f6eaf4,acacia,acacia farnesiana (l.) willd.,16,3,1990,75
fd9cfa08-ac6d-48bc-a1ca-f860701f32da,acacia,acacia farnesiana (l.) willd.,1,3,1992,61
bra:unicamp:uec:37675,acacia,acacia langsdorffii,20,4,1980,111
urn:catalog:mo:tropicos:2878679,acacia,acacia langsdorffii benth.,18,2,1974,49
urn:catalog:mo:tropicos:2878072,acacia,acacia langsdorffii benth.,28,2,1971,59
https://data.biodiversitydata.nl/naturalis/specimen/u.1258736,acacia,acacia langsdorfii benth.,20,4,1980,111
bra:unicamp:uec:57487,acacia,acacia martiusiana,26,12,1989,360
1062a577-6b85-438c-afc2-158b451b8deb,acacia,acacia monacantha willd.,26,8,1981,238
bra:unicamp:uec:27171,acacia,acacia piauhiensis,25,2,1974,56
bra:unicamp:uec:37587,acacia,acacia piauhiensis,18,4,1980,109
https://data.biodiversitydata.nl/naturalis/specimen/u.1258685,acacia,acacia piauhiensis benth.,18,4,1980,109
bra:unicamp:uec:27039,acacia,acacia polyphylla,23,2,1977,54
d6ef3e3a-b4bc-4248-88bf-f58a4dd38e48,acacia,acacia polyphylla dc.,23,2,1977,54
https://data.biodiversitydata.nl/naturalis/specimen/u.1258637,acacia,acacia polyphylla dc.,23,2,1977,54
d6c0a051-e33d-4a94-8095-406608387c3f,acacia,acacia polyphylla dc.,6,3,1970,65
0a19ac65-63ed-4767-b3eb-4e29a2d7d449,acacia,acacia polyphylla dc.,11,10,1994,284
bra:unicamp:uec:126833,acacia,acacia riparia,28,10,1993,301
bra:unicamp:uec:24556,acacia,acacia riparia,5,5,1979,125
