dwc:occurrenceID,dwc:recordNumber,dwc:genus,species,Day,Month,Year,Day of the year
http://specimens.kew.org/herbarium/k000181202,7844,acalypha,acalypha fimbriata,22,5,1988,143
https://data.biodiversitydata.nl/naturalis/specimen/wag.1930075,"thomas, dw",acalypha,acalypha fimbriata,22,5,1988,143
urn:catalog:mo:tropicos:143481,thomas 7844,acalypha,acalypha fimbriata,22,5,1988,143
urn:catalog:mo:tropicos:492049,thomas 4127,acanthonema,acanthonema strigosum,12,5,1984,133
urn:catalog:mo:tropicos:1816545,sainge 346,undesignated,aceraceae juss.,2,9,2000,246
urn:catalog:mo:tropicos:70817,thomas 5767,acioa,acioa guianensis,3,10,1986,276
urn:catalog:mo:tropicos:70782,thomas 5742,acioa,acioa guianensis,3,10,1986,276
urn:catalog:mo:tropicos:502641,thomas 2668,adhatoda,adhatoda carthagenesis,12,10,1983,285
http://specimens.kew.org/herbarium/k000029636,2668,adhatoda,adhatoda carthagenesis,10,12,1983,344
https://data.biodiversitydata.nl/naturalis/specimen/wag.1739066,"thomas, dw  2668",adhatoda,adhatoda carthagenesis,10,12,1983,344
urn:catalog:mo:tropicos:1815515,sainge 233,adhatoda,adhatoda quineensis,1,8,2000,214
http://coldb.mnhn.fr/catalognumber/mnhn/p/p01295827,,adiantum,adiantum,24,2,1985,55
urn:catalog:mo:tropicos:39957,thomas 4400,adiantum,adiantum vogelii,24,2,1985,55
http://n2t.net/ark:/65665/3d4e6c202-aa61-4665-9af4-dd47e4cddbda,4400,adiantum,adiantum vogelii,24,2,1985,55
http://specimens.kew.org/herbarium/76190.000,1983,aframomum,aframomum,15,4,1996,106
http://specimens.kew.org/herbarium/k000541813,6727,aframomum,aframomum arundinaceum,20,2,1987,51
http://specimens.kew.org/herbarium/k000541812,6727,aframomum,aframomum arundinaceum,20,2,1987,51
http://specimens.kew.org/herbarium/k000541814,6727,aframomum,aframomum arundinaceum,20,2,1987,51
urn:catalog:mo:tropicos:626713,thomas 6727,aframomum,aframomum arundinaceum,20,2,1987,51
urn:catalog:mo:tropicos:626698,thomas 6716,aframomum,aframomum limbatum,20,2,1987,51
urn:catalog:mo:tropicos:626867,thomas 3178,aframomum,aframomum limbatum,28,2,1984,59
urn:catalog:mo:tropicos:625324,thomas 5132,aframomum,aframomum sulcatum,12,8,1985,224
urn:catalog:mo:tropicos:626562,thomas 4776,aframomum,aframomum sulcatum,4,12,1985,338
urn:catalog:mo:tropicos:1815631,sainge 275,aframomum,aframomum tectorum,20,1,2000,20
urn:catalog:mo:tropicos:100442580,sainge 190,aframomum,aframomum tectorum,20,12,1999,354
urn:catalog:mo:tropicos:626705,thomas 6726,aframomum,aframomum tectorum,20,2,1987,51
urn:catalog:mo:tropicos:626728,thomas 6731,aframomum,aframomum tectorum,20,2,1987,51
urn:catalog:mo:tropicos:626960,thomas 7869,aframomum,aframomum tectorum,25,5,1988,146
urn:catalog:mo:tropicos:626677,thomas 5788,aframomum,aframomum tectorum,3,10,1986,276
urn:catalog:mo:tropicos:626591,thomas 7117,aframomum,aframomum tectorum,8,8,1987,220
urn:catalog:mo:tropicos:1812896,sainge 523,aframomum,aframomum tectorum,6,8,2000,219
http://specimens.kew.org/herbarium/k000518881,8270,afrofittonia,afrofittonia silvestris,29,4,1996,120
urn:catalog:mo:tropicos:502892,thomas 3192,afrofittonia,afrofittonia silvestris,28,2,1984,59
urn:catalog:mo:tropicos:502702,thomas 2687,afrofittonia,afrofittonia silvestris,12,10,1983,285
https://data.biodiversitydata.nl/naturalis/specimen/wag.1739563,"thomas, dw  2687",afrofittonia,afrofittonia silvestris,10,12,1983,344
http://specimens.kew.org/herbarium/k000023938,8111,afrolicania,afrolicania elaeosperma,17,4,1996,108
https://data.biodiversitydata.nl/naturalis/specimen/wag.1889950,"cheek, mr",afrolicania,afrolicania elaeosperma,17,4,1996,108
http://n2t.net/ark:/65665/3f7ff7f20-d5e2-4303-bdff-9085a57a37e3,8111,afrolicania,afrolicania sp.,17,4,1996,108
urn:catalog:mo:tropicos:1824605,sainge 910,afrothismia,afrothismia winkleri,19,10,2001,292
https://data.biodiversitydata.nl/naturalis/specimen/wag.1704869,"thomas, dw  498",afzelia,afzelia bipindensis,31,3,1979,90
urn:catalog:mo:tropicos:86364,harris 2669,afzelia,afzelia bipindensis,14,1,1991,14
urn:catalog:mo:tropicos:97689,thomas 7657,afzelia,afzelia bipindensis,4,3,1988,64
urn:catalog:mo:tropicos:98683,thomas 4129,afzelia,afzelia pachyloba,12,5,1984,133
https://data.biodiversitydata.nl/naturalis/specimen/wag.1001320,"burgt, xm van der",aganope,aganope gabonica,25,11,2005,329
https://data.biodiversitydata.nl/naturalis/specimen/wag.1001319,"burgt, xm van der",aganope,aganope gabonica,25,11,2005,329
urn:catalog:mo:tropicos:71399,thomas 5638,agelaea,agelaea paradoxa var. paradoxa,16,2,1986,47
urn:catalog:mo:tropicos:71339,thomas 5585,agelaea,agelaea pentagyna,16,2,1986,47
urn:catalog:mo:tropicos:72237,thomas 5577,agelaea,agelaea pentagyna,16,2,1986,47
https://data.biodiversitydata.nl/naturalis/specimen/wag.1440370,"doumenge, c  380",agelaea,agelaea rubiginosa,16,3,1987,75
urn:catalog:mo:tropicos:71438,doumenge 380,agelaea,agelaea rubiginosa,16,3,1987,75
https://data.biodiversitydata.nl/naturalis/specimen/wag.1328103,"thomas, dw  3223",aidia,aidia genipiflora,28,2,1984,59
urn:catalog:mo:tropicos:533416,thomas 3223,aidia,aidia genipiflora,28,2,1984,59
urn:catalog:mo:tropicos:1301183,kenfack 1118,aidia,aidia genipiflora,24,6,1998,175
https://data.biodiversitydata.nl/naturalis/specimen/wag.1328606,"burgt, xm van der  757",aidia,aidia rubens,28,4,2005,118
ba292ab9-d24f-4e45-a918-10da2e024c9a,41,albertisia,albertisia,8,6,1990,159
http://specimens.kew.org/herbarium/k000108286,8110,albizia,albizia adianthifolia,17,4,1996,108
urn:catalog:mo:tropicos:89419,thomas 7613,albizia,albizia adianthifolia,4,3,1988,64
urn:catalog:mo:tropicos:89426,thomas 7627,albizia,albizia ferruginea (guill. & perr.) benth.,4,3,1988,64
urn:catalog:mo:tropicos:98762,thomas 7831,albizia,albizia gummifera var. gummifera,22,5,1988,143
urn:catalog:mo:tropicos:99600,thomas 3362,albizia,albizia zygia,24,3,1984,84
urn:catalog:mo:tropicos:97366,thomas 7612,albizia,albizia zygia,4,3,1988,64
urn:catalog:mo:tropicos:86434,harris 2841,albizia,albizia zygia,4,1,1991,4
https://data.biodiversitydata.nl/naturalis/specimen/wag.1707870,"harris, dj  2841",albizia,albizia zygia,1,4,1991,91
http://specimens.kew.org/herbarium/k000180828,3335,alchornea,alchornea floribunda,24,3,1984,84
