(???) recordNumber,dwc:genus,gbif:canonicalName,dwc:scientificName,Day,Month,Year,Day of the Year
LCP011T3E1P3S1-5,guettarda,guettarda aromatica,guettarda aromatica,17,8,1974,229
DJP51T4E3P1S4-4,calyptranthes,calyptranthes macrophylla,calyptranthes macrophylla,13,8,1973,225
LCP07T4E3P3S1-4,doliocarpus,doliocarpus magnificus,doliocarpus magnificus,20,8,1976,233
CHC48T2E1P3S1-4,ardisia,,ardisia pellucida,7,12,1976,342
LCP07T4E3P3S1-3,ipomoea,ipomoea tiliacea,ipomoea tiliacea,17,8,1974,229
LCP012T3E5P3S1-5,casearia,casearia pitumba,casearia pitumba,5,10,1976,279
LCP03T5E3P1S1-5,ruellia,ruellia tarapotana,ruellia tarapotana,15,8,1973,227
DJP220T4E2P1S4-3,ruellia,ruellia tarapotana,ruellia tarapotana,15,8,1973,227
LCP030T5E1P1S4-3,tabernaemontana,tabernaemontana sananho,tabernaemontana sananho,23,9,1976,267
LCP03T3E3P3S1-2,combretum,combretum fruticosum,combretum laxum,7,9,1976,251
LCP017T4E4P3S1-5,aphelandra,aphelandra pepe-parodii,aphelandra pepe-parodii,17,8,1974,229
DJP232T3E2P2S2-4,combretum,combretum fruticosum,combretum laxum,17,8,1974,229
LCP02T4E3P2S1-1,piper,piper reticulatum,piper reticulatum l.,14,11,1980,319
CHC583T2E5P1S1-5,stigmaphyllon,stigmaphyllon maynense,stigmaphyllon maynense,28,10,1976,302
CHC032T1E1P1S4-4,inga,inga,inga punctata,23,7,1977,204
LCP010T2E5P1S1-5,acalypha,acalypha scandens,acalypha scandens,20,8,1976,233
CHC583T2E5P1S1-4,monstera,monstera obliqua,monstera obliqua miq.,20,8,1983,232
CHC109T2E2P3S2-3,rinorea,rinorea viridifolia,rinorea viridifolia,23,9,1976,267
LCP02T4E3P3S1-2,eirmocephala,eirmocephala megaphylla,eirmocephala megaphylla,20,8,1973,232
CHC48T2E1P3S1-3,rinorea,rinorea viridifolia,rinorea viridifolia,17,2,1977,48
CHC01T1E2P1S1-1,casearia,casearia pitumba,casearia pitumba,17,8,1974,229
DJP02T1E4P1S1-1,chiococca,chiococca alba,chiococca alba,17,8,1974,229
LCP010T4E3P1S1-5,ficus,ficus coerulescens,ficus coerulescens (rusby) rossberg,31,8,1989,243
LCP01T4E3P2S1-5,margaritopsis,margaritopsis haematocarpa,margaritopsis haematocarpa (standl.) c.m.taylor,5,11,1986,309
RDJ264-5,oxycaryum,,oxycaryum cubense (poepp. & kunth) palla,11,9,1986,254
RDJ244-5,hasseltia,hasseltia floribunda,hasseltia floribunda,4,8,1977,216
RDJ251-2,fevillea,fevillea cordifolia,fevillea cordifolia,21,8,1976,234
RDJ258-1,sarcomphalus,sarcomphalus cinnamomum,zizyphus cinnamomum triana & planch.,12,11,1980,317
ALP467-2,bunchosia,bunchosia armeniaca,bunchosia armeniaca (cav.) dc.,22,8,1976,235
ALP527-3,solanum,solanum oppositifolium,solanum oppositifolium ruiz & pav.,13,8,1973,225
RDJ264-4,odontocarya,odontocarya membranacea,odontocarya membranacea (a. c. sm.) r. ortiz,26,11,1980,331
RDJ267-5,annona,annona,annona montana macfad.,29,11,1986,333
ALP468-1,rinorea,rinorea viridifolia,rinorea viridifolia rusby,7,9,1989,250
