dwc:catalogNumber,dwc:occurrenceID,dwc:recordNumber,dwc:genus,species,Day,Month,Year,Day.of.the.year
31137,3671197f-7c21-4874-922b-b2e69e65643b,collector number: 159,abrodictyum,abrodictyum caudatum,8,6,1967,159
31137,3671197f-7c21-4874-922b-b2e69e65643b,collector number: 159,abrodictyum,abrodictyum caudatum,8,6,1967,159
574099,32853253-ada6-4d1d-a82e-5320a7ccbe00,collector number: 5038,acalypha,acalypha wilkesiana,21,8,1983,233
574099,32853253-ada6-4d1d-a82e-5320a7ccbe00,collector number: 5038,acalypha,acalypha wilkesiana,21,8,1983,233
90213174,urn:catalog:mo:tropicos:90213174,de sloover 21139,acroporium,acroporium stramineum,30,7,1975,211
90213174,urn:catalog:mo:tropicos:90213174,de sloover 21139,acroporium,acroporium stramineum,30,7,1975,211
649415,9fab38a6-d51e-4994-81cb-18afe526d436,collector number: 60944,acrostichum,acrostichum aureum,12,7,1981,193
514761,aaad6876-0c7a-4d27-aacb-739f2bdead8e,collector number: 60944,acrostichum,acrostichum aureum,12,7,1981,193
649415,9fab38a6-d51e-4994-81cb-18afe526d436,collector number: 60944,acrostichum,acrostichum aureum,12,7,1981,193
514761,aaad6876-0c7a-4d27-aacb-739f2bdead8e,collector number: 60944,acrostichum,acrostichum aureum,12,7,1981,193
697271,2096ab14-5ee1-4567-8cb1-3df8024baccd,collector number: 130,adenanthera,adenanthera pavonina,25,7,1967,206
697271,2096ab14-5ee1-4567-8cb1-3df8024baccd,collector number: 130,adenanthera,adenanthera pavonina,25,7,1967,206
2921528,http://n2t.net/ark:/65665/336c62e3b-3e31-44ae-8345-e55d790cf3d7,130,adenanthera,adenanthera pavonina,25,7,1967,206
2921528,http://n2t.net/ark:/65665/336c62e3b-3e31-44ae-8345-e55d790cf3d7,130,adenanthera,adenanthera pavonina,25,7,1967,206
152745,8a9ff3c4-cdcb-4e37-976f-349e3bb9bafe,collector number: 4,adenanthera,adenanthera pavonina,8,8,1962,220
152745,8a9ff3c4-cdcb-4e37-976f-349e3bb9bafe,collector number: 4,adenanthera,adenanthera pavonina,8,8,1962,220
491426,8f889ff8-0168-430f-b2ae-e57e13472d46,collector number: 2232,adiantum,adiantum,30,12,1981,364
491426,8f889ff8-0168-430f-b2ae-e57e13472d46,collector number: 2232,adiantum,adiantum,30,12,1981,364
3096348,http://n2t.net/ark:/65665/376e84a8e-3761-499b-9e68-22d0685718d9,2232,adiantum,adiantum,30,12,1981,364
3096348,http://n2t.net/ark:/65665/376e84a8e-3761-499b-9e68-22d0685718d9,2232,adiantum,adiantum,30,12,1981,364
649841,81fdec7b-dc47-4cd7-8e93-3d5f6c877662,collector number: 63659,adiantum,adiantum hispidulum,21,7,1982,202
649841,81fdec7b-dc47-4cd7-8e93-3d5f6c877662,collector number: 63659,adiantum,adiantum hispidulum,21,7,1982,202
101131567,urn:catalog:mo:tropicos:101131567,smith 50,adiantum,adiantum hispidulum,22,6,1967,173
101131567,urn:catalog:mo:tropicos:101131567,smith 50,adiantum,adiantum hispidulum,22,6,1967,173
3087303,http://n2t.net/ark:/65665/3f1e9838a-9a37-418a-b6f2-841a2396bccf,4820,adiantum,adiantum hispidulum,8,11,1983,312
3087303,http://n2t.net/ark:/65665/3f1e9838a-9a37-418a-b6f2-841a2396bccf,4820,adiantum,adiantum hispidulum,8,11,1983,312
492718,12989bc6-7999-469f-8192-c1c06101e192,collector number: 4820,adiantum,adiantum hispidulum,11,8,1983,223
492718,12989bc6-7999-469f-8192-c1c06101e192,collector number: 4820,adiantum,adiantum hispidulum,11,8,1983,223
,http://specimens.kew.org/herbarium/k000853578,9299,adiantum,adiantum trapeziforme,24,6,1988,176
598808,a1f8844e-b315-4f1a-bafb-9e27c900da33,collector number: 9299,adiantum,adiantum trapeziforme,24,6,1988,176
,http://specimens.kew.org/herbarium/k000853578,9299,adiantum,adiantum trapeziforme,24,6,1988,176
598808,a1f8844e-b315-4f1a-bafb-9e27c900da33,collector number: 9299,adiantum,adiantum trapeziforme,24,6,1988,176
491669,1724941e-62dd-499b-99e7-ce1454a0749c,collector number: 2098,ageratum,ageratum conyzoides,22,12,1981,356
491669,1724941e-62dd-499b-99e7-ce1454a0749c,collector number: 2098,ageratum,ageratum conyzoides,22,12,1981,356
3100049,http://n2t.net/ark:/65665/30b64fb50-9d32-4f97-b2ec-0862f9f28329,2098,ageratum,ageratum conyzoides,22,12,1981,356
3100049,http://n2t.net/ark:/65665/30b64fb50-9d32-4f97-b2ec-0862f9f28329,2098,ageratum,ageratum conyzoides,22,12,1981,356
22305,0f209b03-bb0d-4d48-8932-80f9ea7c3ad8,collector number: 72,ageratum,ageratum conyzoides,1,7,1967,182
22305,0f209b03-bb0d-4d48-8932-80f9ea7c3ad8,collector number: 72,ageratum,ageratum conyzoides,1,7,1967,182
699946,aee2964b-eac1-4ad6-b704-dfe16ef060a2,collector number: 60980,aleurites,aleurites moluccanus,13,7,1981,194
599184,85387f08-d060-4c07-8e70-43b8b364e6ae,collector number: 60980,aleurites,aleurites moluccanus,13,7,1981,194
699946,aee2964b-eac1-4ad6-b704-dfe16ef060a2,collector number: 60980,aleurites,aleurites moluccanus,13,7,1981,194
599184,85387f08-d060-4c07-8e70-43b8b364e6ae,collector number: 60980,aleurites,aleurites moluccanus,13,7,1981,194
491166,2cb602c2-fe95-45ba-b591-fec3c2b18807,collector number: 2097,aleurites,aleurites moluccanus,22,12,1981,356
491166,2cb602c2-fe95-45ba-b591-fec3c2b18807,collector number: 2097,aleurites,aleurites moluccanus,22,12,1981,356
659887,a689f7e9-440f-4a96-a1f0-d2316a38aa77,collector number: 63684,aleurites,aleurites moluccanus,23,7,1982,204
614464,696a2e5f-e8ea-4aee-a0d4-5ad3d12afc79,collector number: 63684,aleurites,aleurites moluccanus,23,7,1982,204
659887,a689f7e9-440f-4a96-a1f0-d2316a38aa77,collector number: 63684,aleurites,aleurites moluccanus,23,7,1982,204
614464,696a2e5f-e8ea-4aee-a0d4-5ad3d12afc79,collector number: 63684,aleurites,aleurites moluccanus,23,7,1982,204
3123199,http://n2t.net/ark:/65665/31e1f5b30-b28e-443d-b28f-718706ab8f2e,2097,aleurites,aleurites moluccanus,22,12,1981,356
3123199,http://n2t.net/ark:/65665/31e1f5b30-b28e-443d-b28f-718706ab8f2e,2097,aleurites,aleurites moluccanus,22,12,1981,356
,http://n2t.net/ark:/65665/3186409f1-b9b3-490a-80cc-db5ba90404a6,60980,aleurites,aleurites moluccanus,13,7,1981,194
3173734,http://n2t.net/ark:/65665/347b47484-1baf-4162-9231-a354964d547c,60980,aleurites,aleurites moluccanus,13,7,1981,194
3398195,http://n2t.net/ark:/65665/35eca97cf-c630-4407-a91d-0139a1c3d683,60980,aleurites,aleurites moluccanus,13,7,1981,194
3173733,http://n2t.net/ark:/65665/3d7ebf6d4-7182-498e-bc3e-64de8770dbaa,60980,aleurites,aleurites moluccanus,13,7,1981,194
,http://n2t.net/ark:/65665/3186409f1-b9b3-490a-80cc-db5ba90404a6,60980,aleurites,aleurites moluccanus,13,7,1981,194
3173734,http://n2t.net/ark:/65665/347b47484-1baf-4162-9231-a354964d547c,60980,aleurites,aleurites moluccanus,13,7,1981,194
3398195,http://n2t.net/ark:/65665/35eca97cf-c630-4407-a91d-0139a1c3d683,60980,aleurites,aleurites moluccanus,13,7,1981,194
3173733,http://n2t.net/ark:/65665/3d7ebf6d4-7182-498e-bc3e-64de8770dbaa,60980,aleurites,aleurites moluccanus,13,7,1981,194
137827,16c58f43-4adf-4d16-aab2-1e23489f8ed3,collector number: 98,aleurites,aleurites moluccanus,7,12,1967,341
137827,16c58f43-4adf-4d16-aab2-1e23489f8ed3,collector number: 98,aleurites,aleurites moluccanus,7,12,1967,341
634713,f13f6a45-b810-4f4e-a99f-ae2a4968640e,collector number: 17810,aleurites,aleurites moluccanus,3,6,1973,154
634713,f13f6a45-b810-4f4e-a99f-ae2a4968640e,collector number: 17810,aleurites,aleurites moluccanus,3,6,1973,154
l.4095252,https://data.biodiversitydata.nl/naturalis/specimen/l.4095252,"zaneveld, js  s.n.",alga,alga,11,8,1985,223
l.4095253,https://data.biodiversitydata.nl/naturalis/specimen/l.4095253,"zaneveld, js  s.n.",alga,alga,11,8,1985,223
l.4095242,https://data.biodiversitydata.nl/naturalis/specimen/l.4095242,"zaneveld, js  s.n.",alga,alga,11,8,1985,223
l.4095252,https://data.biodiversitydata.nl/naturalis/specimen/l.4095252,"zaneveld, js  s.n.",alga,alga,11,8,1985,223
l.4095253,https://data.biodiversitydata.nl/naturalis/specimen/l.4095253,"zaneveld, js  s.n.",alga,alga,11,8,1985,223
l.4095242,https://data.biodiversitydata.nl/naturalis/specimen/l.4095242,"zaneveld, js  s.n.",alga,alga,11,8,1985,223
648903,e3689c48-74b8-41c3-a5df-1eb31d14be77,collector number: 61030,allamanda,allamanda cathartica,15,7,1981,196
648903,e3689c48-74b8-41c3-a5df-1eb31d14be77,collector number: 61030,allamanda,allamanda cathartica,15,7,1981,196
649185,7cc2303e-c0ae-4daf-9619-8b976a50d078,collector number: 63678,allamanda,allamanda cathartica,22,7,1982,203
649185,7cc2303e-c0ae-4daf-9619-8b976a50d078,collector number: 63678,allamanda,allamanda cathartica,22,7,1982,203
574375,bc26579b-dc66-4fa6-bba6-b2d522eb713c,collector number: 5030,allamanda,allamanda oenotheraefolia,21,8,1983,233
574375,bc26579b-dc66-4fa6-bba6-b2d522eb713c,collector number: 5030,allamanda,allamanda oenotheraefolia,21,8,1983,233
