dwc:occurrenceID,dwc:catalogNumber,dwc:datasetID,dwc:recordNumber,dwc:genus,species,Day,Month,Year,Day of the year
http://coldb.mnhn.fr/catalognumber/mnhn/p/p01195949,p01195949,7ddf754f-d193-4cc9-b351-99906754a03b,,abelmoschus,abelmoschus esculentus,13,11,1961,317
http://coldb.mnhn.fr/catalognumber/mnhn/p/p01195468,p01195468,7ddf754f-d193-4cc9-b351-99906754a03b,,abelmoschus,abelmoschus esculentus,13,11,1961,317
http://coldb.mnhn.fr/catalognumber/mnhn/p/p01195950,p01195950,7ddf754f-d193-4cc9-b351-99906754a03b,,abelmoschus,abelmoschus esculentus,13,11,1961,317
http://coldb.mnhn.fr/catalognumber/mnhn/p/p01195469,p01195469,7ddf754f-d193-4cc9-b351-99906754a03b,,abelmoschus,abelmoschus esculentus,13,11,1961,317
https://data.biodiversitydata.nl/naturalis/specimen/l.1924324,l.1924324,046bbc50-cae2-47ff-aa43-729fbf53f7c5,morvan  s.n.,abrus,abrus canescens,1,7,1913,182
urn:catalog:mo:tropicos:100566806,100566806,7ddf754f-d193-4cc9-b351-99906754a03b,jongkind 11608,abrus,abrus fruticulosus,26,10,2012,300
http://coldb.mnhn.fr/catalognumber/mnhn/p/p02143564,p02143564,7ddf754f-d193-4cc9-b351-99906754a03b,,abutilon,abutilon,23,11,1949,327
https://data.biodiversitydata.nl/naturalis/specimen/l.1929317,l.1929317,,"raynal, j  16794",acacia,acacia  mill.,24,3,1973,83
http://coldb.mnhn.fr/catalognumber/mnhn/p/p04809761,p04809761,7ddf754f-d193-4cc9-b351-99906754a03b,,acalypha,acalypha annobonae,18,7,1959,199
http://coldb.mnhn.fr/catalognumber/mnhn/p/p05510169,p05510169,7ddf754f-d193-4cc9-b351-99906754a03b,,acalypha,acalypha guineensis,10,12,2007,344
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00924777,p00924777,7ddf754f-d193-4cc9-b351-99906754a03b,,acalypha,acalypha wilkesiana,21,11,1961,325
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00924776,p00924776,7ddf754f-d193-4cc9-b351-99906754a03b,,acalypha,acalypha wilkesiana,21,11,1961,325
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00924632,p00924632,7ddf754f-d193-4cc9-b351-99906754a03b,,acalypha,acalypha wilkesiana,8,11,1961,312
http://coldb.mnhn.fr/catalognumber/mnhn/p/p01196047,p01196047,7ddf754f-d193-4cc9-b351-99906754a03b,,acalypha,acalypha wilkesiana,8,11,1961,312
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00924631,p00924631,7ddf754f-d193-4cc9-b351-99906754a03b,,acalypha,acalypha wilkesiana,8,11,1961,312
http://coldb.mnhn.fr/catalognumber/mnhn/p/p01196041,p01196041,7ddf754f-d193-4cc9-b351-99906754a03b,,acalypha,acalypha wilkesiana,7,12,1961,341
http://coldb.mnhn.fr/catalognumber/mnhn/pc/pc0658037,pc0658037,6cfd67d6-4f9b-400b-8549-1933ac27936f,,acanthocladium,acanthocladium serrulatum,21,6,1899,172
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00111147,p00111147,7ddf754f-d193-4cc9-b351-99906754a03b,,acanthospermum,acanthospermum hispidum,21,4,1896,112
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00111148,p00111148,7ddf754f-d193-4cc9-b351-99906754a03b,,acanthospermum,acanthospermum hispidum,22,7,1901,203
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00111145,p00111145,7ddf754f-d193-4cc9-b351-99906754a03b,,acanthospermum,acanthospermum hispidum,17,3,1902,76
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00111144,p00111144,7ddf754f-d193-4cc9-b351-99906754a03b,,acanthospermum,acanthospermum hispidum,17,3,1902,76
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00111149,p00111149,7ddf754f-d193-4cc9-b351-99906754a03b,,acanthospermum,acanthospermum hispidum,21,10,1907,294
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00111143,p00111143,7ddf754f-d193-4cc9-b351-99906754a03b,,acanthospermum,acanthospermum hispidum,21,2,1910,52
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00111150,p00111150,7ddf754f-d193-4cc9-b351-99906754a03b,,acanthospermum,acanthospermum hispidum,21,12,1944,356
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00111151,p00111151,7ddf754f-d193-4cc9-b351-99906754a03b,,acanthospermum,acanthospermum hispidum,21,10,1947,294
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00138667,p00138667,7ddf754f-d193-4cc9-b351-99906754a03b,,acanthospermum,acanthospermum hispidum,22,11,1994,326
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00111146,p00111146,7ddf754f-d193-4cc9-b351-99906754a03b,,acanthospermum,acanthospermum hispidum,10,10,1895,283
urn:catalog:mo:tropicos:100566318,100566318,7ddf754f-d193-4cc9-b351-99906754a03b,mas 1578,achyranthes,achyranthes alternifolia,11,8,2012,224
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00695162,p00695162,7ddf754f-d193-4cc9-b351-99906754a03b,,achyranthes,achyranthes aspera,17,10,1956,291
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00541305,p00541305,7ddf754f-d193-4cc9-b351-99906754a03b,,achyrospermum,achyrospermum africanum,28,11,1905,332
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00541306,p00541306,7ddf754f-d193-4cc9-b351-99906754a03b,,achyrospermum,achyrospermum africanum,28,11,1905,332
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00541308,p00541308,7ddf754f-d193-4cc9-b351-99906754a03b,,achyrospermum,achyrospermum africanum,18,12,1908,353
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00541307,p00541307,7ddf754f-d193-4cc9-b351-99906754a03b,,achyrospermum,achyrospermum africanum,28,1,1909,28
urn:catalog:mo:tropicos:100566825,100566825,,jongkind 11627,acmella,acmella radicans var. radicans,29,10,2012,303
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135934,p00135934,6cfd67d6-4f9b-400b-8549-1933ac27936f,,acridocarpus,acridocarpus alternifolius,21,8,1905,233
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135933,p00135933,6cfd67d6-4f9b-400b-8549-1933ac27936f,,acridocarpus,acridocarpus alternifolius,22,8,1905,234
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135920,p00135920,7ddf754f-d193-4cc9-b351-99906754a03b,,acridocarpus,acridocarpus chevalieri,21,11,1900,326
http://coldb.mnhn.fr/catalognumber/mnhn/p/p00135921,p00135921,7ddf754f-d193-4cc9-b351-99906754a03b,,acridocarpus,acridocarpus chevalieri,21,11,1900,326
