dwc:catalogNumber,dwc:occurrenceID,dwc:recordNumber,dwc:genus,species,Day,Month,Year,Day of the year
104320,urn:catalog:mo:tropicos:104320,gentry 60101,abarema,abarema jupunba,29,12,1987,363
102279,urn:catalog:mo:tropicos:102279,palacios cuenca 1952,abarema,abarema jupunba,9,1,1987,9
102128,urn:catalog:mo:tropicos:102128,palacios cuenca 1899,abarema,abarema jupunba,9,1,1987,9
1299656,10207d0f-4481-4eb1-ae85-5448e42c48f6,1899,abarema,abarema jupunba,9,1,1987,9
1299658,80f3736a-2499-46df-a8f5-3ed61ef98519,1952,abarema,abarema jupunba,9,1,1987,9
3129064,http://n2t.net/ark:/65665/380cc39ee-6e1c-47b6-9192-dc405d642329,1952,abarema,abarema jupunba,9,1,1987,9
gb-94026,gb:general:gb-94026,1952,abarema,abarema jupunba,9,8,1987,221
3580667,urn:catalog:mo:tropicos:3580667,homeier 3810,abarema,abarema jupunba,4,9,2008,248
100571036,urn:catalog:mo:tropicos:100571036,neill 17256,abarema,abarema jupunba,10,4,2012,101
cm339239,2753d99b-7cee-4397-a504-c85894abe528,1952,abarema,abarema jupunba,1,9,1987,244
79657,urn:catalog:mo:tropicos:79657,cerón martínez 837,abarema,abarema laeta,17,1,1987,17
1299833,953b04df-241a-4a66-85ba-ea2b6779a91f,837,abarema,abarema laeta,17,1,1987,17
1085325,urn:catalog:mo:tropicos:1085325,holm-nielsen 20105,abarema,abarema laeta,29,8,1979,241
1299851,7df426d0-8e08-4dc8-80ed-10b8d97127e3,448,abarema,abarema laeta,8,5,1982,128
3579159,urn:catalog:mo:tropicos:3579159,homeier 2783,abarema,abarema pittier,10,10,2007,283
234810,532f515d-f27a-49d0-ac03-daf84a81b28b,15632,abelmoschus,abelmoschus moschatus moschatus,21,11,1994,325
882565,urn:catalog:mo:tropicos:882565,abbott 15632,abelmoschus,abelmoschus moschatus moschatus,21,11,1994,325
187499,urn:catalog:mo:tropicos:187499,miller 2260,abelmoschus,abelmoschus moschatus moschatus,28,6,1986,179
