dwc:catalogNumber,dwc:datasetID,dwc:occurrenceID,dwc:genus,species,Day,Month,Year,Day of the year
l.2354867,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.2354867,abutilon,abutilon ramosum (cav.) guill. & perr.,16,11,1962,320
l.2354867,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.2354867,abutilon,abutilon ramosum (cav.) guill. & perr.,16,11,1962,320
mel 0247523a,,a2d6fc91-485f-46be-8310-9f579f7c2022,acacia,acacia arabica willd.,12,8,1943,224
mel 0247523a,,a2d6fc91-485f-46be-8310-9f579f7c2022,acacia,acacia arabica willd.,12,8,1943,224
l.1930964,,https://data.biodiversitydata.nl/naturalis/specimen/l.1930964,acacia,acacia catechu (l.f.) willd.,25,10,1962,298
l.1930964,,https://data.biodiversitydata.nl/naturalis/specimen/l.1930964,acacia,acacia catechu (l.f.) willd.,25,10,1962,298
u.1284565,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/u.1284565,acalypha,acalypha indica l.,27,8,1964,240
u.1284565,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/u.1284565,acalypha,acalypha indica l.,27,8,1964,240
mel 2370359a,7ddf754f-d193-4cc9-b351-99906754a03b,bcb034fd-76e5-4237-9de3-82fe69064314,adansonia,adansonia digitata ,17,11,2011,321
mel 2370325a,7ddf754f-d193-4cc9-b351-99906754a03b,d3ea338e-329a-4f40-be06-8fe935d66a50,adansonia,adansonia digitata ,17,11,2011,321
mel 2370367a,7ddf754f-d193-4cc9-b351-99906754a03b,d6f41697-247c-4632-b102-7b69e7f84c7f,adansonia,adansonia digitata ,17,11,2011,321
mel 2370576a,7ddf754f-d193-4cc9-b351-99906754a03b,be861e14-6b3f-4cf3-b652-24aad65c6cfa,adansonia,adansonia digitata ,17,11,2011,321
mel 2370441a,7ddf754f-d193-4cc9-b351-99906754a03b,0118d995-0ee0-4544-a421-25071150974a,adansonia,adansonia digitata ,17,11,2011,321
mel 2370355a,7ddf754f-d193-4cc9-b351-99906754a03b,07c7c6ed-592a-4e06-84f6-a98f4cffe98d,adansonia,adansonia digitata ,17,11,2011,321
mel 2370329a,7ddf754f-d193-4cc9-b351-99906754a03b,2f3d5d71-697a-4f5e-91b8-36945a10f39f,adansonia,adansonia digitata ,17,11,2011,321
mel 2370328a,7ddf754f-d193-4cc9-b351-99906754a03b,bcf6b8c7-6ef2-4f4b-8669-679d0400974a,adansonia,adansonia digitata ,17,11,2011,321
mel 2370359a,7ddf754f-d193-4cc9-b351-99906754a03b,bcb034fd-76e5-4237-9de3-82fe69064314,adansonia,adansonia digitata ,17,11,2011,321
mel 2370325a,7ddf754f-d193-4cc9-b351-99906754a03b,d3ea338e-329a-4f40-be06-8fe935d66a50,adansonia,adansonia digitata ,17,11,2011,321
mel 2370367a,7ddf754f-d193-4cc9-b351-99906754a03b,d6f41697-247c-4632-b102-7b69e7f84c7f,adansonia,adansonia digitata ,17,11,2011,321
mel 2370576a,7ddf754f-d193-4cc9-b351-99906754a03b,be861e14-6b3f-4cf3-b652-24aad65c6cfa,adansonia,adansonia digitata ,17,11,2011,321
mel 2370441a,7ddf754f-d193-4cc9-b351-99906754a03b,0118d995-0ee0-4544-a421-25071150974a,adansonia,adansonia digitata ,17,11,2011,321
mel 2370355a,7ddf754f-d193-4cc9-b351-99906754a03b,07c7c6ed-592a-4e06-84f6-a98f4cffe98d,adansonia,adansonia digitata ,17,11,2011,321
mel 2370329a,7ddf754f-d193-4cc9-b351-99906754a03b,2f3d5d71-697a-4f5e-91b8-36945a10f39f,adansonia,adansonia digitata ,17,11,2011,321
mel 2370328a,7ddf754f-d193-4cc9-b351-99906754a03b,bcf6b8c7-6ef2-4f4b-8669-679d0400974a,adansonia,adansonia digitata ,17,11,2011,321
mel 2370324a,7ddf754f-d193-4cc9-b351-99906754a03b,669b1db8-24b4-4de4-bfad-fbec17247b7c,adansonia,adansonia digitata ,18,11,2011,322
mel 2370324a,7ddf754f-d193-4cc9-b351-99906754a03b,669b1db8-24b4-4de4-bfad-fbec17247b7c,adansonia,adansonia digitata ,18,11,2011,322
l.1674177,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1674177,aerva,aerva lanata (l.) juss. ex schult.,17,1,1964,17
l.1674177,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1674177,aerva,aerva lanata (l.) juss. ex schult.,17,1,1964,17
canb 479092.1,d9a4eedb-e985-4456-ad46-3df8472e00e8,a45994f6-fd61-4832-87bd-d8b4e0755e90,aerva,aerva monsonia mart.,11,10,1960,285
canb 479092.1,d9a4eedb-e985-4456-ad46-3df8472e00e8,a45994f6-fd61-4832-87bd-d8b4e0755e90,aerva,aerva monsonia mart.,11,10,1960,285
l.1970717,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1970717,aeschynomene,aeschynomene  l.,1,10,1947,274
l.1970717,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1970717,aeschynomene,aeschynomene  l.,1,10,1947,274
803358,7ddf754f-d193-4cc9-b351-99906754a03b,http://n2t.net/ark:/65665/364444319-9831-4d38-8d51-1076dc7dffe7,ajuga,ajuga macrosperma,17,3,1885,76
803358,7ddf754f-d193-4cc9-b351-99906754a03b,http://n2t.net/ark:/65665/364444319-9831-4d38-8d51-1076dc7dffe7,ajuga,ajuga macrosperma,17,3,1885,76
l.1970868,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1970868,albizia,albizia odoratissima (l.f.) benth.,10,2,1963,41
l.1970868,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1970868,albizia,albizia odoratissima (l.f.) benth.,10,2,1963,41
l.1992612,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1992612,alysicarpus,alysicarpus vaginalis (l.) dc.,21,9,1956,265
l.1992612,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1992612,alysicarpus,alysicarpus vaginalis (l.) dc.,21,9,1956,265
,7ddf754f-d193-4cc9-b351-99906754a03b,http://specimens.kew.org/herbarium/k000858932,alysicarpus,alysicarpus vaginalis (l.) dc.,1,1,1852,1
,7ddf754f-d193-4cc9-b351-99906754a03b,http://specimens.kew.org/herbarium/k000858932,alysicarpus,alysicarpus vaginalis (l.) dc.,1,1,1852,1
l.1685334,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1685334,amaranthus,amaranthus polygamus l.,17,1,1924,17
l.1685334,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1685334,amaranthus,amaranthus polygamus l.,17,1,1924,17
l.2478313,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.2478313,ammannia,ammannia baccifera l.,12,11,1962,316
l.2478313,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.2478313,ammannia,ammannia baccifera l.,12,11,1962,316
,7ddf754f-d193-4cc9-b351-99906754a03b,http://specimens.kew.org/herbarium/k000185852,andrachne,andrachne telephioides l.,14,2,1959,45
,7ddf754f-d193-4cc9-b351-99906754a03b,http://specimens.kew.org/herbarium/k000185852,andrachne,andrachne telephioides l.,14,2,1959,45
u.1055187,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/u.1055187,andrographis,andrographis echioides,27,8,1964,240
u.1055187,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/u.1055187,andrographis,andrographis echioides,27,8,1964,240
136059,7ddf754f-d193-4cc9-b351-99906754a03b,90fbadae-e5fb-46f8-8a35-ec906c55e1c0,andrographis,andrographis echioides,28,9,1960,272
136059,7ddf754f-d193-4cc9-b351-99906754a03b,90fbadae-e5fb-46f8-8a35-ec906c55e1c0,andrographis,andrographis echioides,28,9,1960,272
gas021509,7ddf754f-d193-4cc9-b351-99906754a03b,51c11834-0f90-44db-8a84-99ff5a74e79e,andrographis,andrographis echioides,28,9,1963,271
gas021509,7ddf754f-d193-4cc9-b351-99906754a03b,51c11834-0f90-44db-8a84-99ff5a74e79e,andrographis,andrographis echioides,28,9,1963,271
,7ddf754f-d193-4cc9-b351-99906754a03b,http://herbarium.bgbm.org/object/b100460735,andrographis,andrographis echioides,12,9,1956,256
,7ddf754f-d193-4cc9-b351-99906754a03b,http://herbarium.bgbm.org/object/b100460735,andrographis,andrographis echioides,12,9,1956,256
u.1055190,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/u.1055190,andrographis,andrographis paniculata (burm.f.) nees,18,12,1964,353
u.1055190,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/u.1055190,andrographis,andrographis paniculata (burm.f.) nees,18,12,1964,353
gas020494,7ddf754f-d193-4cc9-b351-99906754a03b,e8c2f1cc-e0b2-47f7-9a82-cc0391033d12,anisomeles,anisomeles indica,29,9,1963,272
gas020494,7ddf754f-d193-4cc9-b351-99906754a03b,e8c2f1cc-e0b2-47f7-9a82-cc0391033d12,anisomeles,anisomeles indica,29,9,1963,272
gas014389,7ddf754f-d193-4cc9-b351-99906754a03b,279cb86b-f5a1-40a6-8eda-ae9e3f81f8c7,anogeissus,anogeissus latifolia,28,9,1963,271
gas014389,7ddf754f-d193-4cc9-b351-99906754a03b,279cb86b-f5a1-40a6-8eda-ae9e3f81f8c7,anogeissus,anogeissus latifolia,28,9,1963,271
,7ddf754f-d193-4cc9-b351-99906754a03b,http://specimens.kew.org/herbarium/k000786667,anogeissus,anogeissus sericea brandis,1,4,1868,92
,7ddf754f-d193-4cc9-b351-99906754a03b,http://specimens.kew.org/herbarium/k000786667,anogeissus,anogeissus sericea brandis,1,4,1868,92
l.2183050,046bbc50-cae2-47ff-aa43-729fbf53f7c5,https://data.biodiversitydata.nl/naturalis/specimen/l.2183050,antidesma,antidesma ghaesembilla gaertn.,2,10,1947,275
l.2183050,046bbc50-cae2-47ff-aa43-729fbf53f7c5,https://data.biodiversitydata.nl/naturalis/specimen/l.2183050,antidesma,antidesma ghaesembilla gaertn.,2,10,1947,275
rb00770935,7ddf754f-d193-4cc9-b351-99906754a03b,urn:catalog:jbrj:rb:770935,caryota,arecaceae caryota,9,12,1995,343
rb00770935,7ddf754f-d193-4cc9-b351-99906754a03b,urn:catalog:jbrj:rb:770935,caryota,arecaceae caryota,9,12,1995,343
rb00770927,046bbc50-cae2-47ff-aa43-729fbf53f7c5,urn:catalog:jbrj:rb:770927,caryota,arecaceae caryota plumosa hort. ex voll & brade,9,7,1935,190
rb00770927,046bbc50-cae2-47ff-aa43-729fbf53f7c5,urn:catalog:jbrj:rb:770927,caryota,arecaceae caryota plumosa hort. ex voll & brade,9,7,1935,190
p02308486,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p02308486,argemone,argemone mexicana l.,1,1,1890,1
p02308486,7ddf754f-d193-4cc9-b351-99906754a03b,http://coldb.mnhn.fr/catalognumber/mnhn/p/p02308486,argemone,argemone mexicana l.,1,1,1890,1
l.1820481,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1820481,argemone,argemone mexicana l. var. ochroleuca (sweet) lindl.,16,7,1964,198
l.1820481,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1820481,argemone,argemone mexicana l. var. ochroleuca (sweet) lindl.,16,7,1964,198
39266,,279e230e-ca5f-4e7e-bae1-edaaf503287a,argyreia,argyreia sericea,19,9,1956,263
39266,,279e230e-ca5f-4e7e-bae1-edaaf503287a,argyreia,argyreia sericea,19,9,1956,263
l.1213546,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1213546,aristida,aristida adscensionis l.,29,4,1964,120
l.1213546,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1213546,aristida,aristida adscensionis l.,29,4,1964,120
l.1214605,7ddf754f-d193-4cc9-b351-99906754a03b,https://data.biodiversitydata.nl/naturalis/specimen/l.1214605,aristida,aristida cumingiana trin. & rupr.,31,10,1970,304
