dwc:recordNumber,dwc:genus,species,dwc:scientificName,Day,Month,Year,Day.of.the.year
kuchar 24812,abrus,abrus precatorius,abrus precatorius subsp. africanus verdc.,9,9,2001,252
kayombo 5041,abrus,abrus precatorius,abrus precatorius subsp. africanus verdc.,29,10,2005,302
luwiika 113,abrus,abrus pulchellus pulchellus,abrus melanospermus subsp. tenuiflorus (spruce ex benth.) d. harder,28,2,1995,59
9327,abrus,abrus schimperi,abrus schimperi baker,16,3,2003,75
826,abrus,abrus schimperi,abrus schimperi baker,24,4,1961,114
kindeketa 1071,abrus,abrus schimperi,abrus schimperi subsp. africanus (vatke) verdc.,13,6,2001,164
kuchar 22652,abrus,abrus schimperi,abrus schimperi subsp. africanus (vatke) verdc.,17,12,1999,351
kindeketa 1218,abutilon,abutilon angulatum,abutilon angulatum (guill. & perr.) mast.,25,6,2001,176
kuchar 23050,abutilon,abutilon lepidum,abutilon mill.,21,2,2000,52
de nevers 3190,acalypha,acalypha,acalypha indica l.,3,4,1984,94
"maesen, ljg van der; maroyi, a  8511",acalypha,acalypha,acalypha  l.,29,12,2010,363
harder 2224,acalypha,acalypha ambigua,acalypha ambigua pax,9,12,1993,343
2224,acalypha,acalypha ambigua,acalypha ambigua,9,12,1993,343
55,acalypha,acalypha brachiata,acalypha villicaulis,29,1,1957,29
ab1216,acalypha,acalypha brachiata,acalypha villicaulis,27,12,1971,361
2418,acalypha,acalypha brachiata,acalypha villicaulis,17,9,1958,260
2417,acalypha,acalypha brachiata,acalypha villicaulis,17,9,1958,260
kuchar 23065,acalypha,acalypha brachiata,acalypha l.,21,2,2000,52
laizer 1255,acalypha,acalypha brachiata,acalypha l.,1,6,2005,152
schmidt 2504,acalypha,acalypha brachiata,acalypha villicaulis a. rich. ex müll. arg.,11,3,1997,70
de nevers 3392,acalypha,acalypha brachiata,acalypha l.,1,5,1984,122
harder 3561,acalypha,acalypha brachiata,acalypha villicaulis a. rich. ex müll. arg.,28,2,1996,59
gereau 6998,acalypha,acalypha brachiata,acalypha villicaulis a. rich. ex müll. arg.,23,1,2008,23
kuchar 22627,acalypha,acalypha brachiata,acalypha l.,17,12,1999,351
24,acalypha,acalypha brachiata,acalypha villicaulis,12,2,1936,43
kuchar 23110,acalypha,acalypha brachiata,acalypha l.,27,2,2000,58
2220,acalypha,acalypha chirindica,acalypha chirindica,11,12,1979,345
kuchar 23066,acalypha,acalypha fimbriata,acalypha fimbriata schumach. & thonn.,21,2,2000,52
,acalypha,acalypha fimbriata,acalypha fimbriata,21,2,2000,52
mboya 259,acalypha,acalypha fruticosa,acalypha fruticosa var. eglandulosa radcl.-sm.,12,6,2001,163
259,acalypha,acalypha fruticosa,acalypha fruticosa var. eglandulosa,12,6,2001,163
de nevers 3190a,acalypha,acalypha lanceolata,acalypha lanceolata willd.,3,4,1984,94
,acalypha,acalypha ornata,acalypha ornata,25,3,1985,84
kuchar 23004,acalypha,acalypha ornata,acalypha ornata hochst. ex a. rich.,21,2,2000,52
kuchar 23118,acalypha,acalypha ornata,acalypha ornata hochst. ex a. rich.,27,2,2000,58
kuchar 25013,acalypha,acalypha ornata,acalypha ornata hochst. ex a. rich.,9,1,2002,9
de nevers 3239,acalypha,acalypha ornata,acalypha ornata hochst. ex a. rich.,11,4,1984,102
laizer 1470,acalypha,acalypha petiolaris,acalypha petiolaris hochst.,16,2,2006,47
gereau 5000,acalypha,acalypha polymorpha,acalypha polymorpha müll. arg.,3,11,1992,308
harder 1198,acalypha,acalypha polymorpha,acalypha stuhlmannii pax,24,10,1992,298
"gereau, re; harder, dk; kayombo, mj; mwangoka, ma  5000",acalypha,acalypha polymorpha,acalypha polymorpha hutch. ex müll.arg.,3,11,1992,308
nkhoma 96,acalypha,acalypha polymorpha,acalypha polymorpha müll. arg.,1,12,1993,335
"harder, dk; gereau, re; kayombo, cj  1198",acalypha,acalypha polymorpha,acalypha stuhlmannii pax,24,10,1992,298
harder 3087,acalypha,acalypha welwitschiana,acalypha welwitschiana müll. arg.,13,5,1994,133
"maesen, ljg van der; maroyi, a  8587",,acanthaceae,acanthaceae,2,1,2011,2
"kayombo, cj; wimbe, e  6952",,acanthaceae,acanthaceae,2,9,2011,245
"maesen, ljg van der; maroyi, a  8589",,acanthaceae,acanthaceae,3,1,2011,3
"maesen, ljg van der; maroyi, a  8488",,acanthaceae,acanthaceae,29,12,2010,363
occurrenceID,issued,accrualPolicy,recordNumber,,educationLevel,,individualCount
occurrenceID,issued,accrualPolicy,recordNumber,,educationLevel,,individualCount
mboya 372,achyranthes,achyranthes conferta,centemopsis conferta suess.,20,6,2001,171
kindeketa 913,achyranthes,achyranthes conferta,centemopsis conferta suess.,25,5,2001,145
mollel 697,achyropsis,achyropsis laniceps,achyropsis laniceps c.b. clarke,15,12,2001,349
gereau 5009,acmella,acmella caulirhiza,acmella caulirhiza delile,3,11,1992,308
schmidt 1247,acmella,acmella caulirhiza,acmella caulirhiza delile,26,11,1993,330
mwangoka 5373,acridocarpus,acridocarpus zanzibaricus,acridocarpus zanzibaricus a. juss.,18,4,2007,108
schmidt 2466,acrotome,acrotome angustifolia,acrotome angustifolia g. tayl.,5,3,1997,64
759,actiniopteris,actiniopteris dimorpha,actiniopteris dimorpha,7,4,1937,97
"pócs, t  88012 /e",actiniopteris,actiniopteris dimorpha,actiniopteris dimorpha pic.serm.,5,2,1988,36
9931,actiniopteris,actiniopteris pauciloba,actiniopteris pauciloba,1,3,1967,60
10198,actiniopteris,actiniopteris radiata,actiniopteris radiata,31,8,1983,243
10203,actiniopteris,actiniopteris radiata,actiniopteris radiata,3,9,1983,246
10198,actiniopteris,actiniopteris radiata,actiniopteris radiata,31,8,1983,243
10203,actiniopteris,actiniopteris radiata,actiniopteris radiata,3,9,1983,246
,actiniopteris,actiniopteris radiata,actiniopteris radiata,26,3,1989,85
gereau 4986,adenia,adenia cissampeloides,adenia gummifera var. cerifera w.j. de wilde,3,11,1992,308
schmidt 1195,adenia,adenia cissampeloides,adenia gummifera var. cerifera w.j. de wilde,14,11,1993,318
luke 10112,adenia,adenia dolichosiphon,adenia dolichosiphon harms,13,12,2003,347
kuchar 22910,adenia,adenia lanceolata,adenia lanceolata engl.,30,1,2000,30
3432 (s),adenodolichos,adenodolichos acutifolius,adenodolichos acutifolius verdc.,23,11,1962,327
3217(b),adenodolichos,adenodolichos baumii,adenodolichos baumii harms,15,5,1969,135
3217(a),adenodolichos,adenodolichos baumii,adenodolichos baumii harms,14,5,1969,134
3340,adenodolichos,adenodolichos exellii,adenodolichos exellii torre f.,14,5,1969,134
3794,adenodolichos,adenodolichos huillensis,adenodolichos huillensis torre var. huillensis,1,9,1960,245
8648,adenodolichos,adenodolichos huillensis,adenodolichos huillensis torre var. huillensis,24,5,1964,145
c88,adenodolichos,adenodolichos huillensis,adenodolichos huillensis torre var. huillensis,15,8,1973,227
3794,adenodolichos,adenodolichos huillensis,adenodolichos huillensis torre var. huillensis,1,9,1960,245
1973,adenodolichos,adenodolichos kaessneri,adenodolichos kaessneri harms,13,6,1980,165
2985,adenodolichos,adenodolichos punctatus,adenodolichos punctatus (micheli) harms subsp. punctatus verdc.,18,7,1961,199
