dwc:occurrenceID,dwc:genus,species,Day,Month,Year,Day of the year
08c429e5-1a5c-4e83-8890-f028ef04047d,abacopteris,abacopteris presliana,25,2,1945,56
16242d4f-717e-40d4-804c-4554b69f0807,abelmoschus,abelmoschus angulosus,9,10,1939,282
http://specimens.kew.org/herbarium/k000832601,abelmoschus,abelmoschus crinitus,10,9,1826,253
urn:catalog:o:v:2003991,abelmoschus,abelmoschus esculentus,25,8,1958,237
urn:catalog:cas:bot-bc:529550,abelmoschus,abelmoschus manihot,19,12,1990,353
b14b0bc2-1966-43bb-9cfb-75f02efd3fcf,abelmoschus,abelmoschus manihot,20,10,2015,293
http://n2t.net/ark:/65665/345ee325d-e063-4186-9038-d8bf6c0792ee,abelmoschus,abelmoschus manihot manihot,12,10,1945,285
https://data.biodiversitydata.nl/naturalis/specimen/l.3921754,abelmoschus,abelmoschus moschatus moschatus,19,10,1998,292
http://specimens.kew.org/herbarium/k001114716,abelmoschus,abelmoschus moschatus moschatus,1,1,1826,1
http://specimens.kew.org/herbarium/k000873439,abelmoschus,abelmoschus moschatus moschatus,1,1,1826,1
http://specimens.kew.org/herbarium/k001114717,abelmoschus,abelmoschus moschatus moschatus,1,1,1827,1
http://n2t.net/ark:/65665/366e8ad79-f78c-4f9e-99e2-d9ae4c790302,abelmoschus,abelmoschus moschatus moschatus,8,8,1893,220
https://data.biodiversitydata.nl/naturalis/specimen/l.3916030,abelmoschus,abelmoschus moschatus moschatus,12,1,1951,12
http://n2t.net/ark:/65665/33f7e7538-52d7-4f42-81f9-4e8e4c1c30a0,abelmoschus,abelmoschus sagittifolius,8,8,1893,220
https://data.biodiversitydata.nl/naturalis/specimen/l.4307773,abelmoschus,abelmoschus sagittifolius,9,9,2013,252
http://specimens.kew.org/herbarium/k000567632,abies,abies delavayi,26,2,1962,57
urn:catalog:cas:bot-bc:499297,abies,abies delavayi,24,8,2006,236
452e9afa-1b55-4d21-aa38-af3877a90c84,abies,abies delavayi,22,10,2016,296
http://specimens.kew.org/herbarium/k000567631,abies,abies delavayi,5,1,1938,5
urn:catalog:cas:bot-bc:499526,abies,abies delavayi,7,2,2000,38
urn:catalog:cas:bot-bc:499569,abies,abies delavayi,14,4,2002,104
urn:catalog:cas:bot-bc:499570,abies,abies delavayi,7,2,2000,38
urn:catalog:cas:bot-bc:499571,abies,abies delavayi,7,2,2000,38
0c8bc71e-c726-49d9-b04c-104c9550d682,abies,abies forrestii,20,1,1939,20
urn:catalog:cas:bot-bc:499531,abies,abies forrestii georgei,8,9,2005,251
http://specimens.kew.org/herbarium/k001129352,abildgaardia,abildgaardia tristachys,1,1,1826,1
http://specimens.kew.org/herbarium/k001119552,abildgaardia,abildgaardia tristachys,1,1,1826,1
http://n2t.net/ark:/65665/311357451-d574-4182-bae2-000354f4ac65,abroma,abroma augusta,16,1,1921,16
http://n2t.net/ark:/65665/315bc168d-9413-4cbf-ad35-cf0163720dd2,abroma,abroma augusta,16,1,1921,16
http://n2t.net/ark:/65665/3087280f0-0eb4-48a8-b2e2-00fdee2899a2,abroma,abroma augusta,13,8,2007,225
http://n2t.net/ark:/65665/306e23ac6-cd9b-4dc7-ba24-1ff58afdddbe,abroma,abroma augusta,13,8,2007,225
urn:catalog:o:v:2004201,abroma,abroma augusta,31,8,1958,243
ae7a42f6-a98f-4b71-bfb5-91a5f2f65a8e,abroma,abroma augusta,27,10,2014,300
https://data.biodiversitydata.nl/naturalis/specimen/l.2377126,abroma,abroma augusta,12,10,1986,285
9234bffd-b413-4b61-9a47-88a92cfe30ab,abroma,abroma augusta,11,5,2015,131
64043c31-b188-4d29-a354-9be433d53fc6,abroma,abroma augustum (l.) l.f.,10,10,2016,284
b6413ae0-410f-43ce-98ff-e8d48be7ecf1,abroma,abroma jacq.,29,5,2017,149
1dd45933-edcc-4701-9692-a74907803c7e,abrus,abrus adans.,16,11,2017,320
http://n2t.net/ark:/65665/37ff79f88-8e0e-4d82-a63c-f115ee5eb681,abrus,abrus precatorius,8,1,1951,8
http://specimens.kew.org/herbarium/k001122261,abrus,abrus precatorius,1,1,1826,1
http://specimens.kew.org/herbarium/k001122262,abrus,abrus precatorius,1,1,1826,1
urn:catalog:o:v:2003913,abrus,abrus prectorius linn.,22,10,1958,295
http://n2t.net/ark:/65665/3627f7e33-27b9-46b7-b37d-d4220821e77b,abrus,abrus pulchellus,12,10,1945,285
6a82a4fc-9e11-4cbf-838e-17c420593437,abrus,abrus pulchellus,8,9,1897,251
http://n2t.net/ark:/65665/357fa5903-8656-4224-971e-457727d3409f,abutilon,abutilon hirtum,23,2,2014,54
dc5e85fc-e168-48b9-9d7b-f0b2fb378f2a,abutilon,abutilon indicum,19,11,1950,323
http://n2t.net/ark:/65665/368839dc5-74ff-4eff-bd1e-07fc1abee1db,abutilon,abutilon indicum,8,8,1894,220
ae0f7ac7-b6fa-4790-9481-eae08be4abbe,abutilon,abutilon paniculatum,2,4,2016,93
4311d949-43cf-45bc-985d-b5939c4389c9,abutilon,abutilon paniculatum,2,4,2016,93
87bc9b38-49d0-431e-b2af-706d757b3f0d,acacia,acacia,23,1,1868,23
54ed1fe7-4158-4740-b1bd-46a2c9440ee0,acacia,acacia,1,3,1868,61
http://specimens.kew.org/herbarium/k001120307,acacia,acacia amblycarpa,1,1,1826,1
urn:catalog:o:v:2004012,acacia,acacia arabica willd.,4,7,1958,185
urn:catalog:o:v:2004030,acacia,acacia arabica willd.,4,7,1958,185
urn:catalog:o:v:2004029,acacia,acacia arabica willd.,4,7,1961,185
cdc60855-50a6-4127-8ba4-84314a4c7ad4,acacia,acacia catechu,19,10,1950,292
9e3af018-4940-4f57-8c18-e0fa9d80f7e9,acacia,acacia catechu,8,9,1890,251
https://data.biodiversitydata.nl/naturalis/specimen/l.1930977,acacia,acacia catechu,11,1,1902,11
https://data.biodiversitydata.nl/naturalis/specimen/l.1931052,acacia,acacia catechu,11,1,1902,11
https://data.biodiversitydata.nl/naturalis/specimen/l.1930978,acacia,acacia catechu,11,1,1902,11
https://data.biodiversitydata.nl/naturalis/specimen/wag.1637166,acacia,acacia catechu,11,1,1902,11
https://data.biodiversitydata.nl/naturalis/specimen/u.1260539,acacia,acacia catechu,11,1,1902,11
https://data.biodiversitydata.nl/naturalis/specimen/wag.1637165,acacia,acacia catechu,12,1,1902,12
https://data.biodiversitydata.nl/naturalis/specimen/l.1931054,acacia,acacia catechu,12,1,1902,12
131d3c1c-544d-4272-91d0-441a93cbc8d9,acacia,acacia catechu,6,4,1929,96
https://data.biodiversitydata.nl/naturalis/specimen/u.1260541,acacia,acacia catechu,7,3,1929,66
48d9e6a4-e65f-495c-8dc6-7eda6fda272a,acacia,acacia catechu,7,3,1929,66
https://data.biodiversitydata.nl/naturalis/specimen/l.1930966,acacia,acacia catechu,10,1,1950,10
urn:catalog:o:v:2004028,acacia,acacia catechu,24,6,1961,175
urn:catalog:o:v:2004026,acacia,acacia catechu,3,1,1959,3
urn:catalog:o:v:2004027,acacia,acacia catechu,4,3,1961,63
225f1ea0-a6f1-4906-bbfd-c0717947fde4,acacia,acacia farnesiana (l.) willd.,19,2,1951,50
334002b9-0930-4a56-b380-e5d2a92befa2,acacia,acacia leucophloea (roxb.) willd.,19,9,1950,262
5b7162c1-ffec-4b39-9aa3-307383fd1ae9,acacia,acacia leucophloea willd.,12,9,1902,255
https://data.biodiversitydata.nl/naturalis/specimen/l.3884281,acacia,acacia meeboldii craib,23,10,1998,296
https://data.biodiversitydata.nl/naturalis/specimen/l.3884280,acacia,acacia meeboldii craib,23,10,1998,296
a6baf1b3-5c54-4678-84d8-1091da097144,acacia,acacia modesta wall.,19,10,1950,292
7c7c8e6f-db16-4a69-9413-2fc776df27a6,acacia,acacia pennata,12,9,1892,256
1be84f26-78d8-46cb-a140-50a64976d636,acacia,acacia pennata,12,9,1902,255
023c7f1e-81cb-4bbe-b38a-1ae56231ddb3,acacia,acacia pennata,1,9,1903,244
ccd81baa-0f21-4578-bdc3-666846e0318c,acacia,acacia pennata,12,9,1903,255
03834ce4-14f4-44d6-812a-c3853441081c,acacia,acacia pennata,12,9,1903,255
https://data.biodiversitydata.nl/naturalis/specimen/u.1260559,acacia,acacia pennata,2,1,1903,2
https://data.biodiversitydata.nl/naturalis/specimen/l.1928933,acacia,acacia pennata,4,12,1938,338
https://data.biodiversitydata.nl/naturalis/specimen/l.4307737,acacia,acacia pennata,14,2,2012,45
urn:catalog:o:v:2004023,acacia,acacia pennata,4,7,1958,185
4da4ba05-25dd-44b8-ad45-345c47545d76,acacia,acacia pinnata dalzell & a.gibson,5,1,1948,5
http://n2t.net/ark:/65665/3a6b68f42-a9ae-4b19-ac5d-c202f1fed211,acacia,acacia sinuata,5,4,1945,95
http://n2t.net/ark:/65665/3307bdcac-962e-40e5-80d1-1e9af31e2c0b,acacia,acacia sp.,9,1,1951,9
http://specimens.kew.org/herbarium/k000618556,acampe,acampe praemorsa,1,1,1826,1
e2b80f16-6457-4860-944a-5085f16361cf,acanthocladium,acanthocladium baculiferum,10,1,1939,10
ac760ffc-afab-4b40-b3d4-9a30bea4cabe,acanthocladium,acanthocladium baculiferum,10,1,1939,10
http://n2t.net/ark:/65665/3666a8c63-558a-4d72-b216-71ada3dbd77b,acanthophora,acanthophora sp.,25,2,1967,56
http://n2t.net/ark:/65665/38220e62f-2a9a-48b7-a247-45bb3e4b2495,acanthophora,acanthophora sp.,15,3,1975,74
http://n2t.net/ark:/65665/31ca712dd-3663-4bbc-b7d9-0d9e647623a4,acanthospermum,acanthospermum hispidum,12,11,1997,316
s:vascularplants:s16-40538,acanthospermum,acanthospermum hispidum,8,5,1934,128
391ca7a1-c2c0-4901-9a4b-9a6f71fb285e,acanthus,acanthus ebracteatus,19,7,1835,200
https://data.biodiversitydata.nl/naturalis/specimen/l.2830506,acanthus,acanthus ebracteatus,3,7,1998,184
https://data.biodiversitydata.nl/naturalis/specimen/l%20%200201396,acanthus,acanthus ebracteatus,3,7,1998,184
https://data.biodiversitydata.nl/naturalis/specimen/l.2830364,acanthus,acanthus ilicifolius,3,7,1998,184
https://data.biodiversitydata.nl/naturalis/specimen/l%20%200202010,acanthus,acanthus ilicifolius,3,7,1998,184
c2a0fd4f-d876-47da-be12-5a09620773a9,acanthus,acanthus ilicifolius,6,5,2016,127
http://n2t.net/ark:/65665/3093a5814-c002-4917-b58b-3fe58ff7b3c7,acanthus,acanthus leucostachyus,26,2,1953,57
fed8f31a-b751-4306-8d26-7b621aa511a2,acanthus,acanthus leucostachyus,27,3,2017,86
f8bd895d-571d-420c-ab6c-27e91edbebe7,acanthus,acanthus leucostachyus,4,7,1939,185
d7477b48-011e-4330-9fcb-d89ad2ff1d02,acanthus,acanthus leucostachyus,4,6,2017,155
4d84d754-082a-4938-8bed-a65aab2ce08f,acer,acer calcaratum,19,4,1929,109
urn:catalog:cas:bot-bc:500367,acer,acer davidii,13,10,1998,286
058f77a8-16a3-4ae1-9d73-1b8f45853cab,acer,acer davidii,13,10,1998,286
urn:catalog:cas:bot-bc:595147,acer,acer davidii,24,4,2004,115
0a982cfb-c835-4f46-bfa3-0608932b5a2d,acer,acer davidii,10,12,1998,344
9478cf95-0b27-4bb6-828f-5171ccfdecd3,acer,acer davidii,10,12,1998,344
urn:catalog:cas:bot-bc:500366,acer,acer davidii,10,12,1998,344
urn:catalog:cas:bot-bc:500368,acer,acer davidii,10,12,1998,344
