dwc:occurrenceID,dwc:catalogNumber,dwc:datasetID,dwc:genus,species,Day,Month,Year,Day of the year
s:vascularplants:s09-2421,s09-2421,7ddf754f-d193-4cc9-b351-99906754a03b,abelmoschus,abelmoschus angulosus,20,10,1982,293
s:vascularplants:s09-2423,s09-2423,7ddf754f-d193-4cc9-b351-99906754a03b,abelmoschus,abelmoschus angulosus,10,6,1982,161
s:vascularplants:s11-17635,s11-17635,7ddf754f-d193-4cc9-b351-99906754a03b,acanthospermum,acanthospermum hispidum,28,9,1982,271
s:vascularplants:s15-4034,s15-4034,7ddf754f-d193-4cc9-b351-99906754a03b,acranthera,acranthera grandiflora,11,4,1982,101
bra:mbm:mbm:260989,260989,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,19,2,2000,50
urn:catalog:mo:tropicos:100933056,100933056,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,26,2,2016,57
http://n2t.net/ark:/65665/302128d92-91b8-423b-a819-7cbf10a47112,,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,25,3,2016,85
urn:catalog:mo:tropicos:103182,103182,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,18,6,1989,169
urn:catalog:mo:tropicos:101021393,101021393,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,28,8,2017,240
bra:usp:spf:159770,159770,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,16,9,2003,259
https://data.biodiversitydata.nl/naturalis/specimen/l%20%200405377,l  0405377,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,31,1,1866,31
https://data.biodiversitydata.nl/naturalis/specimen/l%20%200018441,l  0018441,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,31,1,1867,31
https://data.biodiversitydata.nl/naturalis/specimen/l%20%200018440,l  0018440,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,31,1,1867,31
https://data.biodiversitydata.nl/naturalis/specimen/l.1932913,l.1932913,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,31,1,1877,31
https://data.biodiversitydata.nl/naturalis/specimen/l.1932914,l.1932914,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,31,1,1889,31
https://data.biodiversitydata.nl/naturalis/specimen/l.1932911,l.1932911,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,31,1,1889,31
https://data.biodiversitydata.nl/naturalis/specimen/l.1932930,l.1932930,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,13,9,1891,256
https://data.biodiversitydata.nl/naturalis/specimen/l%20%200915337,l  0915337,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,13,9,1891,256
https://data.biodiversitydata.nl/naturalis/specimen/l.1932933,l.1932933,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,28,11,1891,332
https://data.biodiversitydata.nl/naturalis/specimen/l.1932934,l.1932934,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,28,11,1891,332
ld:seeds:2048612,2048612,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,14,7,1897,195
https://data.biodiversitydata.nl/naturalis/specimen/l.1932910,l.1932910,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,23,9,1927,266
urn:catalog:jbrj:rb:47244,rb00047244,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,18,10,1949,291
urn:catalog:jbrj:rb:47264,rb00047264,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,30,6,1953,181
https://data.biodiversitydata.nl/naturalis/specimen/l.1932912,l.1932912,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,16,3,1960,76
urn:catalog:ibunam:mexu:160482:e86846e51a7ef3de5eb252185e1dd500,160482,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,20,12,1973,354
urn:catalog:ibunam:mexu:207584:f2fd6df5d2d89a4d23fc88102b0a2c32,207584,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,24,10,1977,297
urn:catalog:ibunam:mexu:207598:b67e5eec2e576d2d0118c3c2fe1c1078,207598,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,24,10,1977,297
urn:catalog:jbrj:rb:47276,rb00047276,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,18,8,1982,230
urn:catalog:ibunam:mexu:380185:b038fea081794470923f19ad4e1f3b04,380185,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,18,3,1983,77
urn:catalog:jbrj:rb:140008,rb00140008,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,30,9,1986,273
https://data.biodiversitydata.nl/naturalis/specimen/l%20%200574100,l  0574100,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,29,3,1990,88
https://data.biodiversitydata.nl/naturalis/specimen/l.1932952,l.1932952,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,29,3,1990,88
urn:catalog:ujat:ujat:016221:a8b58db6a9c503c7610745b3c2e10702,16221,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,15,5,1991,135
urn:catalog:ibunam:mexu:1021055:42996db75dcf0316b1874ff1b427853b,1021055,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,15,5,1991,135
https://data.biodiversitydata.nl/naturalis/specimen/l.1932948,l.1932948,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,17,4,1996,108
https://data.biodiversitydata.nl/naturalis/specimen/l.1932947,l.1932947,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,17,4,1996,108
https://data.biodiversitydata.nl/naturalis/specimen/l.1932949,l.1932949,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,17,2,1997,48
https://data.biodiversitydata.nl/naturalis/specimen/l.1932950,l.1932950,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,17,2,1997,48
urn:catalog:ibunam:mexu:978713:e4fca4d8603f064ef88cbc142d65d023,978713,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,19,3,2000,79
urn:catalog:ibunam:mexu:969349:1d159c7772411a261a04c88d94dbc32d,969349,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,19,3,2000,79
https://data.biodiversitydata.nl/naturalis/specimen/l.3885876,l.3885876,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,24,11,2003,328
https://data.biodiversitydata.nl/naturalis/specimen/l.3885877,l.3885877,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,24,11,2003,328
s:vascularplants:s12-28986,s12-28986,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,23,11,2010,327
bra:ibt:sp:157819,157819,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,8,9,1967,251
63a9fcad-6e47-49ad-adc7-1ed7722b851b,bm000636203,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,4,1,1995,4
urn:catalog:mo:tropicos:100481808,100481808,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,11,2,2009,42
http://specimens.kew.org/herbarium/k000789066,,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,2,1,1836,2
http://specimens.kew.org/herbarium/k000789065,,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,2,1,1836,2
https://data.biodiversitydata.nl/naturalis/specimen/l.1932935,l.1932935,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,5,11,1897,309
https://data.biodiversitydata.nl/naturalis/specimen/l.1932929,l.1932929,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,9,12,1901,343
https://data.biodiversitydata.nl/naturalis/specimen/l.1932916,l.1932916,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,1,1,1915,1
https://data.biodiversitydata.nl/naturalis/specimen/l.1932951,l.1932951,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,3,2,1932,34
https://data.biodiversitydata.nl/naturalis/specimen/l.1932937,l.1932937,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,6,12,1941,340
https://data.biodiversitydata.nl/naturalis/specimen/l.1932938,l.1932938,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,6,12,1941,340
https://data.biodiversitydata.nl/naturalis/specimen/l.1932917,l.1932917,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,6,12,1941,340
https://data.biodiversitydata.nl/naturalis/specimen/l.1932946,l.1932946,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,2,6,1950,153
https://data.biodiversitydata.nl/naturalis/specimen/l.1932943,l.1932943,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,2,8,1951,214
https://data.biodiversitydata.nl/naturalis/specimen/l.1932941,l.1932941,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,4,5,1951,124
https://data.biodiversitydata.nl/naturalis/specimen/l.1932939,l.1932939,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,4,5,1951,124
https://data.biodiversitydata.nl/naturalis/specimen/l.1932940,l.1932940,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,4,5,1951,124
https://data.biodiversitydata.nl/naturalis/specimen/l.1932942,l.1932942,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,2,9,1953,245
https://data.biodiversitydata.nl/naturalis/specimen/l.1932925,l.1932925,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,3,10,1957,276
https://data.biodiversitydata.nl/naturalis/specimen/l.1932926,l.1932926,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,3,10,1957,276
https://data.biodiversitydata.nl/naturalis/specimen/l.1932927,l.1932927,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,3,10,1957,276
urn:catalog:ibunam:mexu:347937:5678cf191eb14a992ff7e770636cd7f3,347937,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,3,10,1983,276
urn:catalog:ibunam:mexu:347995:32749438a89ccb83e971c4e1fe6f9ea5,347995,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,3,10,1983,276
urn:catalog:ibunam:mexu:347781:9d010a779afd53c37d8ccc91223530fe,347781,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,3,10,1983,276
urn:catalog:jbrj:rb:306721,rb00306721,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,1,7,1990,182
https://data.biodiversitydata.nl/naturalis/specimen/l.3886192,l.3886192,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,1,4,1995,91
https://data.biodiversitydata.nl/naturalis/specimen/wag.1692565,wag.1692565,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,9,2,1995,40
295f58f2-1fbb-4d66-ad4b-ec2bd33d5946,201914,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,11,7,1995,192
7319c62a-9c0f-444c-851f-780f4ec72e16,654098,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,2,5,1999,122
68d558d8-434c-4623-9003-71cc814bfad6,654097,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,2,5,1999,122
8ef61b24-0cc1-41b7-9abd-1e6f83953bdd,qrs 125180.2,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,9,6,2002,160
8f34a44d-12ed-45f2-87c8-2264e0f3218e,qrs 125178.1,7ddf754f-d193-4cc9-b351-99906754a03b,acrocarpus,acrocarpus fraxinifolius,9,6,2002,160
